Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,11.96,$257
2010-03-31,14.24,$236
2010-06-30,15.58,$250
2010-09-30,21.83,$308
2010-12-31,30.45,$270
2011-03-31,65.3,$282
2011-06-30,40.88,$312
2011-09-30,0.0,$328
2011-12-31,0.0,$294
2012-03-31,0.0,$327
2012-06-30,0.0,$353
2012-09-30,34.26,$335
2012-12-31,30.86,$316
2013-03-31,28.09,$326
2013-06-30,24.97,$351
2013-09-30,22.18,$350
2013-12-31,24.61,$330
2014-03-31,21.14,$321
2014-06-30,25.41,$363
2014-09-30,26.43,$370
2014-12-31,25.96,$356
2015-03-31,26.81,$370
2015-06-30,22.37,$417
2015-09-30,21.0,$411
2015-12-31,20.92,$384
2016-03-31,21.29,$386
2016-06-30,20.17,$428
2016-09-30,17.3,$429
2016-12-31,18.56,$392
2017-03-31,21.21,$381
2017-06-30,21.38,$465
2017-09-30,20.02,$481
2017-12-31,28.7,$461
2018-03-31,23.35,$465
2018-06-30,21.15,$535
2018-09-30,21.65,$595
2018-12-31,14.16,$588
2019-03-31,16.52,$538
2019-06-30,17.35,$650
2019-09-30,15.3,$707
2019-12-31,15.88,$720
2020-03-31,11.86,$700
2020-06-30,11.62,$743
2020-09-30,13.26,$714
2020-12-31,12.76,$699
2021-03-31,17.1,$670
2021-06-30,18.83,$714
2021-09-30,17.45,$834
2021-12-31,25.03,$856
2022-03-31,15.84,$885
2022-07-08,15.33,$885
