Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,"$6,556"
2010-03-31,0.0,"$5,839"
2010-06-30,16.47,"$6,566"
2010-09-30,12.08,"$7,422"
2010-12-31,12.08,"$7,833"
2011-03-31,9.96,"$6,622"
2011-06-30,8.23,"$7,506"
2011-09-30,7.22,"$8,008"
2011-12-31,8.58,"$7,469"
2012-03-31,10.17,"$6,359"
2012-06-30,8.49,"$5,976"
2012-09-30,7.79,"$6,175"
2012-12-31,9.27,"$6,123"
2013-03-31,16.49,"$5,295"
2013-06-30,24.97,"$5,791"
2013-09-30,32.46,"$6,410"
2013-12-31,16.53,"$7,183"
2014-03-31,15.93,"$6,724"
2014-06-30,14.19,"$6,643"
2014-09-30,12.59,"$6,529"
2014-12-31,13.15,"$7,025"
2015-03-31,12.55,"$5,952"
2015-06-30,12.43,"$5,566"
2015-09-30,11.71,"$6,317"
2015-12-31,12.32,"$6,763"
2016-03-31,15.27,"$5,773"
2016-06-30,14.94,"$5,877"
2016-09-30,23.89,"$6,009"
2016-12-31,26.61,"$6,115"
2017-03-31,28.47,"$5,863"
2017-06-30,25.89,"$6,008"
2017-09-30,16.41,"$6,270"
2017-12-31,18.17,"$6,752"
2018-03-31,20.67,"$6,411"
2018-06-30,18.09,"$6,399"
2018-09-30,23.43,"$6,663"
2018-12-31,30.44,"$6,923"
2019-03-31,58.82,"$6,227"
2019-06-30,239.25,"$6,176"
2019-09-30,0.0,"$6,088"
2019-12-31,0.0,"$6,461"
2020-03-31,46.53,"$5,485"
2020-06-30,53.95,"$5,153"
2020-09-30,17.41,"$5,985"
2020-12-31,21.66,"$6,720"
2021-03-31,15.26,"$6,266"
2021-06-30,11.83,"$6,342"
2021-09-30,8.93,"$6,229"
2021-12-31,8.94,"$6,619"
2022-03-31,9.56,"$6,851"
2022-07-08,7.54,"$6,851"
