Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$16
2010-03-31,43.0,$18
2010-06-30,19.6,$15
2010-09-30,34.33,$18
2010-12-31,39.92,$24
2011-03-31,49.91,$22
2011-06-30,47.64,$24
2011-09-30,23.95,$32
2011-12-31,34.31,$32
2012-03-31,21.52,$41
2012-06-30,18.16,$39
2012-09-30,31.29,$44
2012-12-31,16.68,$38
2013-03-31,20.48,$41
2013-06-30,33.1,$30
2013-09-30,91.25,$30
2013-12-31,0.0,$36
2014-03-31,0.0,$46
2014-06-30,0.0,$44
2014-09-30,0.0,$46
2014-12-31,37.92,$38
2015-03-31,34.91,$40
2015-06-30,40.67,$39
2015-09-30,43.6,$39
2015-12-31,0.0,$37
2016-03-31,0.0,$43
2016-06-30,0.0,$44
2016-09-30,0.0,$65
2016-12-31,47.08,$58
2017-03-31,28.89,$65
2017-06-30,19.56,$64
2017-09-30,18.25,$64
2017-12-31,12.73,$75
2018-03-31,12.4,$70
2018-06-30,13.21,$74
2018-09-30,10.66,$60
2018-12-31,17.33,$60
2019-03-31,25.77,$59
2019-06-30,21.92,$68
2019-09-30,77.25,$61
2019-12-31,27.2,$69
2020-03-31,21.0,$48
2020-06-30,0.0,$44
2020-09-30,48.92,$83
2020-12-31,82.4,$104
2021-03-31,23.96,$118
2021-06-30,14.61,$121
2021-09-30,12.68,$163
2021-12-31,14.44,$199
2022-03-31,17.32,$182
2022-07-08,12.41,$182
