Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,64.45,$118
2010-03-31,40.51,$107
2010-06-30,32.41,$122
2010-09-30,24.94,$122
2010-12-31,22.62,$133
2011-03-31,21.56,$120
2011-06-30,21.61,$132
2011-09-30,14.92,$136
2011-12-31,17.79,$148
2012-03-31,19.43,$137
2012-06-30,16.36,$148
2012-09-30,15.73,$144
2012-12-31,17.76,$156
2013-03-31,18.86,$142
2013-06-30,19.74,$160
2013-09-30,20.28,$170
2013-12-31,22.63,$181
2014-03-31,24.24,$172
2014-06-30,23.85,$194
2014-09-30,21.47,$201
2014-12-31,23.57,$214
2015-03-31,27.87,$206
2015-06-30,29.69,$250
2015-09-30,24.23,$247
2015-12-31,22.36,$256
2016-03-31,20.54,$230
2016-06-30,30.87,$239
2016-09-30,32.74,$250
2016-12-31,49.01,$312
2017-03-31,47.28,$262
2017-06-30,26.28,$284
2017-09-30,25.52,$298
2017-12-31,18.93,$325
2018-03-31,16.72,$303
2018-06-30,17.68,$330
2018-09-30,20.48,$331
2018-12-31,16.87,$173
2019-03-31,19.71,$321
2019-06-30,18.3,$303
2019-09-30,19.65,$314
2019-12-31,22.33,$277
2020-03-31,18.25,$306
2020-06-30,23.95,$282
2020-09-30,30.34,$332
2020-12-31,90.21,$350
2021-03-31,93.4,$362
2021-06-30,45.83,$421
2021-09-30,37.48,$420
2021-12-31,31.3,$460
2022-03-31,19.43,$467
2022-07-08,18.36,$467
