Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,12.79,$913
2010-03-31,13.19,$910
2010-06-30,12.55,$871
2010-09-30,12.12,"$1,005"
2010-12-31,12.98,"$1,126"
2011-03-31,14.05,"$1,190"
2011-06-30,14.85,"$1,098"
2011-09-30,11.61,"$1,011"
2011-12-31,12.08,"$1,035"
2012-03-31,14.66,"$1,085"
2012-06-30,17.26,"$1,046"
2012-09-30,48.84,"$1,621"
2012-12-31,105.14,"$2,520"
2013-03-31,150.89,"$2,490"
2013-06-30,73.23,"$2,497"
2013-09-30,25.07,"$2,344"
2013-12-31,17.89,"$2,377"
2014-03-31,14.25,"$2,460"
2014-06-30,15.63,"$2,465"
2014-09-30,13.84,"$2,193"
2014-12-31,15.33,"$2,040"
2015-03-31,17.12,"$2,163"
2015-06-30,15.76,"$2,081"
2015-09-30,14.78,"$1,979"
2015-12-31,16.54,"$2,011"
2016-03-31,19.66,"$2,005"
2016-06-30,17.29,"$2,070"
2016-09-30,18.39,"$5,764"
2016-12-31,17.79,"$2,004"
2017-03-31,17.62,"$2,059"
2017-06-30,18.78,"$2,110"
2017-09-30,19.95,"$2,088"
2017-12-31,20.12,"$2,217"
2018-03-31,20.88,"$2,334"
2018-06-30,22.22,"$2,279"
2018-09-30,20.94,"$2,136"
2018-12-31,19.43,"$2,241"
2019-03-31,21.03,"$2,308"
2019-06-30,23.05,"$2,333"
2019-09-30,23.01,"$2,240"
2019-12-31,24.55,"$2,315"
2020-03-31,15.86,"$2,335"
2020-06-30,19.03,"$2,202"
2020-09-30,21.65,"$2,198"
2020-12-31,23.82,"$2,317"
2021-03-31,23.71,"$2,431"
2021-06-30,23.23,"$2,460"
2021-09-30,19.8,"$2,390"
2021-12-31,19.89,"$2,453"
2022-03-31,17.35,"$2,581"
2022-07-08,17.83,"$2,581"
