Date,PE Ratio,Revenue_Amount(Millions)
2014-03-31,0.0,$96
2014-06-30,0.0,$100
2014-09-30,0.0,$104
2014-12-31,0.0,$109
2015-03-31,0.0,$116
2015-06-30,0.0,$121
2015-09-30,0.0,$126
2015-12-31,0.0,$138
2016-03-31,0.0,$142
2016-06-30,0.0,$148
2016-09-30,0.0,$147
2016-12-31,0.0,$160
2017-03-31,0.0,$165
2017-06-30,0.0,$173
2017-09-30,0.0,$173
2017-12-31,0.0,$188
2018-03-31,0.0,$232
2018-06-30,0.0,$227
2018-09-30,0.0,$217
2018-12-31,0.0,$-386
2019-03-31,0.0,$200
2019-06-30,0.0,$214
2019-09-30,0.0,$81
2019-12-31,0.0,$86
2020-03-31,0.0,$71
2020-06-30,0.0,$55
2020-09-30,0.0,$67
2020-12-31,0.0,$78
2021-03-31,0.0,$74
2021-06-30,0.0,$82
2021-09-30,0.0,$87
2021-12-31,14.09,$92
2022-03-31,15.5,$93
2022-07-08,12.86,$93
