Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,114.6,$96
2010-03-31,196.67,$93
2010-06-30,22.55,$84
2010-09-30,35.09,$85
2010-12-31,57.5,$113
2011-03-31,53.8,$123
2011-06-30,34.79,$162
2011-09-30,12.89,$151
2011-12-31,10.91,$162
2012-03-31,16.13,$156
2012-06-30,14.88,$115
2012-09-30,16.16,$169
2012-12-31,15.31,$65
2013-03-31,10.5,$205
2013-06-30,8.84,$151
2013-09-30,11.08,$171
2013-12-31,16.24,$120
2014-03-31,18.24,$152
2014-06-30,30.07,$149
2014-09-30,18.47,$162
2014-12-31,0.0,$97
2015-03-31,0.0,$77
2015-06-30,0.0,$69
2015-09-30,0.0,$76
2015-12-31,0.0,$54
2016-03-31,0.0,$57
2016-06-30,0.0,$72
2016-09-30,0.0,$69
2016-12-31,0.0,$92
2017-03-31,0.0,$95
2017-06-30,0.0,$96
2017-09-30,0.0,$104
2017-12-31,0.0,$127
2018-03-31,0.0,$138
2018-06-30,0.0,$163
2018-09-30,21.22,$175
2018-12-31,8.68,$137
2019-03-31,10.81,$153
2019-06-30,6.12,$158
2019-09-30,0.0,$132
2019-12-31,12.9,$128
2020-03-31,0.0,$86
2020-06-30,0.0,$34
2020-09-30,0.0,$53
2020-12-31,0.0,$65
2021-03-31,0.0,$95
2021-06-30,0.0,$97
2021-09-30,0.0,$135
2021-12-31,6.34,$146
2022-03-31,6.04,$175
2022-07-08,4.35,$175
