Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,14.48,$435
2010-03-31,42.76,$221
2010-06-30,0.0,$454
2010-09-30,134.77,$671
2010-12-31,0.0,$417
2011-03-31,0.0,$257
2011-06-30,0.0,$485
2011-09-30,0.0,$729
2011-12-31,15.56,$540
2012-03-31,20.01,$310
2012-06-30,19.54,$540
2012-09-30,21.41,$728
2012-12-31,25.6,$505
2013-03-31,31.54,$379
2013-06-30,28.95,$550
2013-09-30,112.11,$740
2013-12-31,0.0,$598
2014-03-31,0.0,$380
2014-06-30,0.0,$586
2014-09-30,0.0,$720
2014-12-31,54.9,$590
2015-03-31,33.96,$420
2015-06-30,38.59,$569
2015-09-30,22.03,$751
2015-12-31,25.82,$630
2016-03-31,30.03,$439
2016-06-30,26.69,$605
2016-09-30,26.65,$804
2016-12-31,36.34,$667
2017-03-31,43.2,$468
2017-06-30,41.63,$763
2017-09-30,41.57,$957
2017-12-31,34.6,$770
2018-03-31,25.83,$563
2018-06-30,35.52,$807
2018-09-30,28.66,"$1,056"
2018-12-31,46.05,$861
2019-03-31,109.66,$582
2019-06-30,0.0,$866
2019-09-30,0.0,"$1,112"
2019-12-31,0.0,$355
2020-03-31,0.0,$636
2020-06-30,115.66,$916
2020-09-30,0.0,"$1,065"
2020-12-31,0.0,$512
2021-03-31,0.0,$566
2021-06-30,0.0,$964
2021-09-30,66.24,"$1,062"
2021-12-31,274.08,$417
2022-03-31,25.12,$548
2022-07-08,22.17,$548
