Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,18.77,$6
2010-03-31,26.24,$8
2010-06-30,23.68,$10
2010-09-30,27.47,$9
2010-12-31,19.22,$10
2011-03-31,21.3,$9
2011-06-30,21.25,$10
2011-09-30,20.47,$12
2011-12-31,18.82,$13
2012-03-31,16.89,$13
2012-06-30,15.38,$13
2012-09-30,12.41,$14
2012-12-31,12.29,$14
2013-03-31,12.73,$13
2013-06-30,13.29,$13
2013-09-30,13.54,$13
2013-12-31,15.19,$13
2014-03-31,17.92,$14
2014-06-30,15.44,$16
2014-09-30,15.42,$16
2014-12-31,13.97,$16
2015-03-31,11.39,$15
2015-06-30,13.48,$16
2015-09-30,13.82,$17
2015-12-31,12.71,$20
2016-03-31,12.74,$20
2016-06-30,12.06,$20
2016-09-30,11.22,$19
2016-12-31,15.25,$20
2017-03-31,12.19,$20
2017-06-30,15.11,$20
2017-09-30,15.22,$20
2017-12-31,16.18,$25
2018-03-31,15.45,$28
2018-06-30,15.38,$29
2018-09-30,12.88,$29
2018-12-31,9.52,$29
2019-03-31,8.89,$29
2019-06-30,10.69,$29
2019-09-30,11.38,$30
2019-12-31,12.03,$29
2020-03-31,9.55,$29
2020-06-30,12.8,$29
2020-09-30,10.31,$30
2020-12-31,9.4,$31
2021-03-31,8.6,$31
2021-06-30,7.27,$29
2021-09-30,6.44,$34
2021-12-31,7.11,$29
2022-03-31,8.29,$28
2022-07-08,7.33,$28
