Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,7.79,$179
2010-03-31,8.38,$175
2010-06-30,8.19,$188
2010-09-30,9.92,$138
2010-12-31,8.89,$141
2011-03-31,9.48,$141
2011-06-30,12.8,$161
2011-09-30,6.84,$162
2011-12-31,11.3,$169
2012-03-31,12.69,$167
2012-06-30,7.06,$190
2012-09-30,5.75,$190
2012-12-31,5.63,$191
2013-03-31,12.33,$176
2013-06-30,11.14,$207
2013-09-30,21.67,$193
2013-12-31,30.97,$195
2014-03-31,23.58,$195
2014-06-30,12.96,$196
2014-09-30,20.01,$222
2014-12-31,15.89,$227
2015-03-31,13.15,$179
2015-06-30,22.86,$169
2015-09-30,31.77,$166
2015-12-31,43.58,$178
2016-03-31,56.0,$180
2016-06-30,28.63,$201
2016-09-30,21.69,$218
2016-12-31,15.75,$203
2017-03-31,30.71,$155
2017-06-30,55.23,$152
2017-09-30,151.57,$197
2017-12-31,51.0,$181
2018-03-31,36.61,$163
2018-06-30,41.38,$181
2018-09-30,35.4,$188
2018-12-31,57.81,$191
2019-03-31,44.81,$163
2019-06-30,146.64,$169
2019-09-30,0.0,$164
2019-12-31,0.0,$175
2020-03-31,0.0,$185
2020-06-30,0.0,$187
2020-09-30,33.34,$240
2020-12-31,22.24,$276
2021-03-31,17.97,$309
2021-06-30,11.42,$365
2021-09-30,4.86,$421
2021-12-31,5.48,$452
2022-03-31,3.35,$413
2022-07-08,2.39,$413
