Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$8
2010-03-31,0.0,$10
2010-06-30,8.23,$15
2010-09-30,4.82,$11
2010-12-31,3.43,$10
2011-03-31,4.88,$12
2011-06-30,4.78,$14
2011-09-30,2.53,$12
2011-12-31,2.8,$10
2012-03-31,4.09,$11
2012-06-30,4.62,$14
2012-09-30,9.39,$11
2012-12-31,13.14,$8
2013-03-31,12.79,$9
2013-06-30,18.05,$11
2013-09-30,15.84,$10
2013-12-31,12.67,$9
2014-03-31,13.37,$9
2014-06-30,11.79,$12
2014-09-30,15.35,$11
2014-12-31,12.88,$10
2015-03-31,12.06,$10
2015-06-30,14.06,$12
2015-09-30,16.15,$9
2015-12-31,24.88,$8
2016-03-31,27.86,$9
2016-06-30,42.33,$10
2016-09-30,23.53,$11
2016-12-31,17.04,$10
2017-03-31,13.91,$14
2017-06-30,12.09,$16
2017-09-30,13.17,$17
2017-12-31,96.11,$19
2018-03-31,0.0,$19
2018-06-30,40.56,$21
2018-09-30,0.0,$20
2018-12-31,20.43,$18
2019-03-31,18.16,$18
2019-06-30,0.0,$14
2019-09-30,66.43,$15
2019-12-31,27.05,$14
2020-03-31,0.0,$11
2020-06-30,84.25,$13
2020-09-30,225.0,$14
2020-12-31,0.0,$15
2021-03-31,51.35,$20
2021-06-30,37.27,$22
2021-09-30,18.82,$21
2021-12-31,18.71,$22
2022-03-31,20.63,$24
2022-07-08,13.13,$24
