Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$477
2010-03-31,64.79,$498
2010-06-30,45.12,$567
2010-09-30,28.48,$574
2010-12-31,20.77,$621
2011-03-31,21.14,$564
2011-06-30,16.84,$612
2011-09-30,0.0,$616
2011-12-31,0.0,$642
2012-03-31,0.0,$572
2012-06-30,0.0,$579
2012-09-30,44.93,$504
2012-12-31,16.44,$523
2013-03-31,21.68,$448
2013-06-30,25.56,$482
2013-09-30,73.84,$495
2013-12-31,0.0,$513
2014-03-31,0.0,$475
2014-06-30,0.0,$489
2014-09-30,0.0,$496
2014-12-31,0.0,$487
2015-03-31,0.0,$447
2015-06-30,0.0,$471
2015-09-30,0.0,$470
2015-12-31,113.06,$496
2016-03-31,92.71,$498
2016-06-30,32.16,$513
2016-09-30,74.35,$507
2016-12-31,76.65,$496
2017-03-31,63.23,$478
2017-06-30,84.69,$503
2017-09-30,45.29,$487
2017-12-31,46.71,$551
2018-03-31,0.0,$607
2018-06-30,0.0,$586
2018-09-30,0.0,$596
2018-12-31,0.0,$587
2019-03-31,41.65,$615
2019-06-30,40.63,$635
2019-09-30,50.66,$624
2019-12-31,68.81,$628
2020-03-31,37.72,$598
2020-06-30,0.0,$510
2020-09-30,0.0,$540
2020-12-31,0.0,$525
2021-03-31,0.0,$520
2021-06-30,0.0,$489
2021-09-30,1260.5,$487
2021-12-31,0.0,$486
2022-03-31,0.0,$475
2022-07-08,0.0,$475
