Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$34
2010-03-31,0.0,$33
2010-06-30,17.49,$69
2010-09-30,7.88,$65
2010-12-31,11.39,$36
2011-03-31,14.43,$17
2011-06-30,48.62,$28
2011-09-30,0.0,$19
2011-12-31,0.0,$19
2012-03-31,0.0,$17
2012-06-30,0.0,$32
2012-09-30,0.0,$17
2012-12-31,0.0,$17
2013-03-31,0.0,$13
2013-06-30,0.0,$17
2013-09-30,0.0,$19
2013-12-31,0.0,$21
2014-03-31,0.0,$17
2014-06-30,0.0,$15
2014-09-30,0.0,$15
2014-12-31,0.0,$19
2015-03-31,0.0,$20
2015-06-30,0.0,$20
2015-09-30,0.0,$18
2015-12-31,0.0,$16
2016-03-31,0.0,$14
2016-06-30,0.0,$15
2016-09-30,0.0,$23
2016-12-31,0.0,$29
2017-03-31,625.0,$30
2017-06-30,46.25,$31
2017-09-30,27.26,$27
2017-12-31,38.06,$25
2018-03-31,0.0,$18
2018-06-30,0.0,$26
2018-09-30,0.0,$19
2018-12-31,34.87,$32
2019-03-31,21.89,$25
2019-06-30,20.17,$22
2019-09-30,19.41,$26
2019-12-31,141.2,$35
2020-03-31,40.9,$19
2020-06-30,26.0,$29
2020-09-30,26.24,$22
2020-12-31,180.25,$-17
2021-03-31,0.0,$9
2021-06-30,0.0,$14
2021-09-30,0.0,$15
2021-12-31,4.36,$1
2022-03-31,5.19,$4
2022-07-08,4.55,$4
