Date,PE Ratio,Revenue_Amount(Millions)
2014-06-30,0.0,$528
2014-09-30,0.0,$568
2014-12-31,0.0,$462
2015-03-31,0.0,$411
2015-06-30,0.0,$434
2015-09-30,0.0,$425
2015-12-31,0.0,$533
2016-03-31,0.0,$377
2016-06-30,0.0,$423
2016-09-30,22.39,$411
2016-12-31,59.62,$432
2017-03-31,15.54,$357
2017-06-30,16.25,$381
2017-09-30,0.0,$379
2017-12-31,1.79,$269
2018-03-31,4.91,$318
2018-06-30,3.49,$332
2018-09-30,1.18,$329
2018-12-31,0.0,$341
2019-03-31,0.0,$291
2019-06-30,0.55,$307
2019-09-30,0.7,$315
2019-12-31,1.23,$329
2020-03-31,1.04,$267
2020-06-30,0.0,$213
2020-09-30,0.0,$252
2020-12-31,0.0,$297
2021-03-31,0.0,$265
2021-06-30,0.0,$291
2021-09-30,17.92,$287
2021-12-31,18.0,$307
2022-03-31,327.5,$290
2022-07-08,248.0,$290
