Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,25.98,$12
2010-03-31,30.61,$9
2010-06-30,180.11,$8
2010-09-30,154.33,$10
2010-12-31,20.55,$13
2011-03-31,21.49,$8
2011-06-30,9.23,$10
2011-09-30,9.51,$9
2011-12-31,9.36,$10
2012-03-31,9.64,$8
2012-06-30,12.24,$11
2012-09-30,11.32,$9
2012-12-31,12.77,$9
2013-03-31,19.46,$8
2013-06-30,6.49,$10
2013-09-30,7.11,$7
2013-12-31,27.98,$7
2014-03-31,31.19,$4
2014-06-30,0.0,$6
2014-09-30,0.0,$5
2014-12-31,0.0,$7
2015-03-31,0.0,$6
2015-06-30,33.0,$6
2015-09-30,31.56,$6
2015-12-31,19.97,$7
2016-03-31,10.16,$6
2016-06-30,10.68,$7
2016-09-30,10.31,$6
2016-12-31,12.67,$7
2017-03-31,0.0,$5
2017-06-30,0.0,$6
2017-09-30,0.0,$6
2017-12-31,0.0,$6
2018-03-31,0.0,$4
2018-06-30,0.0,$7
2018-09-30,0.0,$6
2018-12-31,0.0,$5
2019-03-31,20.6,$5
2019-06-30,33.33,$6
2019-09-30,200.0,$5
2019-12-31,0.0,$4
2020-03-31,0.0,$5
2020-06-30,0.0,$4
2020-09-30,0.0,$5
2020-12-31,34.4,$5
2021-03-31,449.8,$4
2021-06-30,387.0,$5
2021-09-30,545.0,$4
2021-12-31,534.0,$4
2022-03-31,76.33,$5
2022-07-08,62.42,$5
