Date,PE Ratio,Revenue_Amount(Millions)
2009-11-30,0.0,$914
2010-02-28,0.0,$574
2010-05-31,0.0,$814
2010-08-31,0.0,$825
2010-11-30,0.0,$860
2011-02-28,0.0,$558
2011-05-31,0.0,$764
2011-08-31,0.0,$820
2011-11-30,0.0,$953
2012-02-29,0.0,$725
2012-05-31,0.0,$930
2012-08-31,0.0,"$1,100"
2012-11-30,0.0,"$1,350"
2013-02-28,0.0,$990
2013-05-31,0.0,"$1,427"
2013-08-31,0.0,"$1,603"
2013-11-30,0.0,"$1,915"
2014-02-28,0.0,"$1,363"
2014-05-31,0.0,"$1,819"
2014-08-31,0.0,"$2,014"
2014-11-30,0.0,"$2,584"
2015-02-28,0.0,"$1,644"
2015-05-31,0.0,"$2,393"
2015-08-31,0.0,"$2,492"
2015-11-30,0.0,"$2,946"
2016-02-29,0.0,"$1,994"
2016-05-31,0.0,"$2,746"
2016-08-31,0.0,"$2,834"
2016-11-30,0.0,"$3,377"
2017-02-28,0.0,"$2,337"
2017-05-31,0.0,"$3,262"
2017-08-31,0.0,"$3,261"
2017-11-30,0.0,"$3,786"
2018-02-28,0.0,"$2,981"
2018-05-31,0.0,"$5,459"
2018-08-31,0.0,"$5,673"
2018-11-30,0.0,"$6,459"
2019-02-28,0.0,"$3,868"
2019-05-31,0.0,"$5,563"
2019-08-31,0.0,"$5,857"
2019-11-30,0.0,"$6,972"
2020-02-29,0.0,"$4,505"
2020-05-31,0.0,"$5,287"
2020-08-31,0.0,"$5,870"
2020-11-30,0.0,"$6,826"
2021-02-28,0.0,"$5,325"
2021-05-31,0.0,"$6,430"
2021-08-31,0.0,"$6,941"
2021-11-30,0.0,"$8,434"
2022-02-28,0.0,"$6,204"
2022-05-31,0.0,"$8,359"
2022-07-08,inf,"$8,359"
