Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,270.59,$69
2010-03-31,158.79,$53
2010-06-30,49.04,$64
2010-09-30,25.33,$80
2010-12-31,26.26,$75
2011-03-31,12.39,$65
2011-06-30,12.76,$74
2011-09-30,14.18,$65
2011-12-31,19.16,$69
2012-03-31,45.25,$63
2012-06-30,44.37,$71
2012-09-30,33.92,$75
2012-12-31,273.78,$71
2013-03-31,181.74,$66
2013-06-30,0.0,$69
2013-09-30,0.0,$80
2013-12-31,49.54,$76
2014-03-31,59.98,$69
2014-06-30,129.63,$74
2014-09-30,165.77,$78
2014-12-31,111.43,$85
2015-03-31,60.95,$69
2015-06-30,36.71,$76
2015-09-30,23.3,$86
2015-12-31,25.98,$85
2016-03-31,25.16,$71
2016-06-30,24.43,$81
2016-09-30,36.4,$84
2016-12-31,43.45,$86
2017-03-31,57.32,$78
2017-06-30,64.62,$83
2017-09-30,0.0,$87
2017-12-31,0.0,$92
2018-03-31,0.0,$79
2018-06-30,0.0,$83
2018-09-30,0.0,$85
2018-12-31,0.0,$90
2019-03-31,0.0,$73
2019-06-30,0.0,$82
2019-09-30,0.0,$89
2019-12-31,37.72,$82
2020-03-31,10.47,$71
2020-06-30,16.61,$63
2020-09-30,23.92,$70
2020-12-31,29.45,$76
2021-03-31,31.77,$72
2021-06-30,37.16,$97
2021-09-30,30.38,$106
2021-12-31,24.16,$111
2022-03-31,16.55,$110
2022-07-08,17.36,$110
