Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,"$1,017"
2010-03-31,10.52,$835
2010-06-30,9.12,$906
2010-09-30,11.72,"$1,126"
2010-12-31,11.24,"$1,043"
2011-03-31,12.74,$902
2011-06-30,12.76,$931
2011-09-30,10.8,"$1,152"
2011-12-31,13.79,"$1,066"
2012-03-31,15.03,$853
2012-06-30,13.98,$968
2012-09-30,25.59,"$1,174"
2012-12-31,0.0,"$1,081"
2013-03-31,171.35,$932
2013-06-30,327.92,"$1,061"
2013-09-30,32.39,"$1,286"
2013-12-31,16.09,$642
2014-03-31,18.17,"$1,043"
2014-06-30,18.19,$953
2014-09-30,13.67,"$1,213"
2014-12-31,12.02,$906
2015-03-31,0.0,$862
2015-06-30,0.0,$938
2015-09-30,0.0,"$1,198"
2015-12-31,0.0,"$1,015"
2016-03-31,0.0,$860
2016-06-30,0.0,"$1,044"
2016-09-30,82.31,"$1,209"
2016-12-31,76.14,"$1,016"
2017-03-31,61.43,$938
2017-06-30,19.57,"$1,068"
2017-09-30,19.03,"$1,273"
2017-12-31,16.27,"$1,165"
2018-03-31,16.82,$976
2018-06-30,17.14,"$1,065"
2018-09-30,14.48,"$1,281"
2018-12-31,15.39,"$1,210"
2019-03-31,16.93,"$1,091"
2019-06-30,16.0,"$1,304"
2019-09-30,16.08,"$1,564"
2019-12-31,16.36,"$1,378"
2020-03-31,12.53,"$1,197"
2020-06-30,11.66,"$1,363"
2020-09-30,11.48,"$1,587"
2020-12-31,12.93,"$1,385"
2021-03-31,14.65,"$1,228"
2021-06-30,14.61,"$1,424"
2021-09-30,14.49,"$1,586"
2021-12-31,16.31,"$1,443"
2022-03-31,15.02,"$1,417"
2022-07-08,15.19,"$1,417"
