Date,PE Ratio,Revenue_Amount(Millions)
2013-12-31,0.0,$22
2014-03-31,0.0,$21
2014-06-30,0.0,$19
2014-09-30,0.0,$20
2014-12-31,0.0,$22
2015-03-31,0.0,$23
2015-06-30,0.0,$24
2015-09-30,0.0,$25
2015-12-31,0.0,$24
2016-03-31,0.0,$26
2016-06-30,0.0,$28
2016-09-30,0.0,$29
2016-12-31,0.0,$28
2017-03-31,0.0,$33
2017-06-30,0.0,$34
2017-09-30,0.0,$36
2017-12-31,0.0,$39
2018-03-31,0.0,$39
2018-06-30,0.0,$40
2018-09-30,0.0,$37
2018-12-31,0.0,$35
2019-03-31,0.0,$35
2019-06-30,0.0,$35
2019-09-30,0.0,$37
2019-12-31,0.0,$38
2020-03-31,0.0,$40
2020-06-30,0.0,$41
2020-09-30,0.0,$41
2020-12-31,0.0,$43
2021-03-31,0.0,$48
2021-06-30,0.0,$51
2021-09-30,0.0,$51
2021-12-31,0.0,$52
2022-03-31,0.0,$53
2022-07-08,0.0,$53
