Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,10.39,$45
2010-03-31,16.33,$44
2010-06-30,9.46,$64
2010-09-30,9.94,$52
2010-12-31,13.92,$56
2011-03-31,15.33,$60
2011-06-30,25.94,$61
2011-09-30,17.69,$49
2011-12-31,18.21,$68
2012-03-31,18.93,$67
2012-06-30,17.24,$53
2012-09-30,25.29,$49
2012-12-31,0.0,$50
2013-03-31,0.0,$54
2013-06-30,0.0,$41
2013-09-30,0.0,$51
2013-12-31,0.0,$51
2014-03-31,0.0,$53
2014-06-30,0.0,$54
2014-09-30,0.0,$54
2014-12-31,0.0,$57
2015-03-31,0.0,$60
2015-06-30,45.75,$64
2015-09-30,44.19,$58
2015-12-31,37.47,$60
2016-03-31,39.8,$66
2016-06-30,45.2,$85
2016-09-30,41.64,$88
2016-12-31,52.1,$98
2017-03-31,64.02,$107
2017-06-30,72.57,$116
2017-09-30,60.33,$106
2017-12-31,55.82,$118
2018-03-31,57.52,$116
2018-06-30,44.26,$153
2018-09-30,86.44,$144
2018-12-31,66.61,$159
2019-03-31,69.65,$175
2019-06-30,73.28,$177
2019-09-30,70.58,$177
2019-12-31,58.57,$194
2020-03-31,54.05,$208
2020-06-30,50.42,$217
2020-09-30,51.64,$206
2020-12-31,61.15,$211
2021-03-31,54.77,$257
2021-06-30,59.18,$251
2021-09-30,67.74,$225
2021-12-31,131.1,$220
2022-03-31,306.9,$253
2022-07-08,302.67,$253
