Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,13.89,$496
2010-03-31,15.01,$450
2010-06-30,12.21,$495
2010-09-30,12.14,$632
2010-12-31,13.64,$566
2011-03-31,16.91,$618
2011-06-30,12.64,$717
2011-09-30,11.22,$816
2011-12-31,14.12,$680
2012-03-31,15.87,$738
2012-06-30,15.04,$989
2012-09-30,20.1,"$1,067"
2012-12-31,18.74,$932
2013-03-31,21.12,$919
2013-06-30,23.17,$978
2013-09-30,18.7,"$1,269"
2013-12-31,19.71,"$1,159"
2014-03-31,26.65,$958
2014-06-30,19.38,"$1,107"
2014-09-30,19.38,"$1,315"
2014-12-31,16.75,"$1,231"
2015-03-31,17.87,"$1,003"
2015-06-30,30.11,"$1,067"
2015-09-30,71.95,"$1,111"
2015-12-31,0.0,"$1,027"
2016-03-31,0.0,$974
2016-06-30,0.0,"$1,232"
2016-09-30,0.0,"$1,586"
2016-12-31,23.61,"$1,342"
2017-03-31,18.63,"$1,158"
2017-06-30,15.9,"$1,890"
2017-09-30,15.89,"$1,956"
2017-12-31,11.63,"$1,603"
2018-03-31,11.67,"$1,397"
2018-06-30,12.53,"$1,618"
2018-09-30,9.3,"$1,977"
2018-12-31,12.44,"$1,918"
2019-03-31,13.7,"$1,518"
2019-06-30,12.63,"$1,939"
2019-09-30,15.28,"$2,017"
2019-12-31,12.41,"$1,709"
2020-03-31,6.44,"$1,417"
2020-06-30,10.48,"$1,569"
2020-09-30,10.1,"$1,698"
2020-12-31,15.53,"$1,637"
2021-03-31,19.52,"$1,775"
2021-06-30,21.05,"$1,963"
2021-09-30,17.43,"$2,404"
2021-12-31,20.74,"$1,809"
2022-03-31,28.19,"$1,954"
2022-07-08,23.51,"$1,954"
