Date,PE Ratio,Revenue_Amount(Millions)
2014-06-30,10.35,"$4,758"
2014-09-30,10.2,"$4,623"
2014-12-31,12.91,"$3,441"
2015-03-31,12.86,"$2,921"
2015-06-30,12.05,"$3,468"
2015-09-30,11.73,"$3,383"
2015-12-31,14.71,"$2,928"
2016-03-31,10.73,"$2,490"
2016-06-30,11.75,"$3,006"
2016-09-30,11.77,"$3,043"
2016-12-31,10.95,"$3,056"
2017-03-31,21.41,"$3,000"
2017-06-30,19.64,"$3,211"
2017-09-30,15.26,"$3,236"
2017-12-31,11.49,"$3,380"
2018-03-31,8.83,"$3,244"
2018-06-30,8.93,"$3,829"
2018-09-30,10.97,"$3,788"
2018-12-31,11.65,"$3,502"
2019-03-31,15.39,"$3,116"
2019-06-30,16.85,"$3,800"
2019-09-30,14.71,"$3,658"
2019-12-31,23.65,"$3,460"
2020-03-31,10.9,"$3,185"
2020-06-30,9.0,"$2,380"
2020-09-30,10.17,"$2,839"
2020-12-31,9.91,"$2,861"
2021-03-31,11.79,"$3,537"
2021-06-30,11.8,"$4,456"
2021-09-30,12.87,"$4,600"
2021-12-31,13.24,"$4,767"
2022-03-31,10.47,"$5,118"
2022-07-08,13.37,"$5,118"
