Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,14.01,"$2,518"
2010-03-31,11.92,"$2,242"
2010-06-30,12.8,"$2,153"
2010-09-30,12.16,"$2,597"
2010-12-31,10.66,"$2,548"
2011-03-31,9.67,"$2,465"
2011-06-30,9.58,"$2,384"
2011-09-30,11.45,"$2,744"
2011-12-31,65.26,"$2,765"
2012-03-31,61.06,"$2,683"
2012-06-30,86.0,"$2,229"
2012-09-30,209.11,"$2,480"
2012-12-31,10.59,"$2,572"
2013-03-31,10.65,"$2,188"
2013-06-30,0.0,"$2,018"
2013-09-30,0.0,"$2,020"
2013-12-31,0.0,"$2,188"
2014-03-31,0.0,"$1,764"
2014-06-30,0.0,"$1,765"
2014-09-30,0.0,"$1,746"
2014-12-31,16.08,"$1,544"
2015-03-31,15.85,"$1,972"
2015-06-30,20.94,"$1,908"
2015-09-30,14.58,"$1,560"
2015-12-31,36.48,$645
2016-03-31,144.98,"$1,462"
2016-06-30,569.44,"$1,669"
2016-09-30,0.0,"$1,791"
2016-12-31,0.0,"$1,758"
2017-03-31,0.0,"$1,690"
2017-06-30,0.0,"$1,875"
2017-09-30,219.95,"$1,879"
2017-12-31,0.0,"$1,935"
2018-03-31,384.04,"$1,817"
2018-06-30,111.61,"$1,662"
2018-09-30,0.0,"$1,726"
2018-12-31,49.27,"$2,048"
2019-03-31,74.83,"$1,803"
2019-06-30,0.0,"$2,257"
2019-09-30,12.68,"$2,713"
2019-12-31,11.68,"$2,967"
2020-03-31,9.78,"$2,581"
2020-06-30,12.11,"$2,365"
2020-09-30,18.81,"$3,170"
2020-12-31,16.2,"$3,381"
2021-03-31,18.11,"$2,872"
2021-06-30,17.15,"$3,065"
2021-09-30,20.93,"$2,895"
2021-12-31,42.12,"$3,390"
2022-03-31,60.16,"$3,023"
2022-07-08,45.31,"$3,023"
