Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,32.0,$311
2010-03-31,31.46,$318
2010-06-30,25.88,$368
2010-09-30,21.84,$396
2010-12-31,23.1,$399
2011-03-31,21.53,$423
2011-06-30,19.23,$480
2011-09-30,13.32,$494
2011-12-31,16.34,$506
2012-03-31,18.03,$497
2012-06-30,15.53,$547
2012-09-30,15.04,$551
2012-12-31,17.11,$539
2013-03-31,18.05,$538
2013-06-30,18.53,$590
2013-09-30,19.5,$616
2013-12-31,21.64,$592
2014-03-31,22.6,$620
2014-06-30,23.63,$703
2014-09-30,24.37,$744
2014-12-31,24.54,$721
2015-03-31,22.95,$696
2015-06-30,19.54,$762
2015-09-30,16.93,$779
2015-12-31,16.21,$735
2016-03-31,19.16,$708
2016-06-30,16.69,$755
2016-09-30,18.78,$783
2016-12-31,23.61,$746
2017-03-31,23.06,$754
2017-06-30,24.29,$840
2017-09-30,26.66,$873
2017-12-31,23.02,$891
2018-03-31,23.53,$925
2018-06-30,21.12,"$1,033"
2018-09-30,20.31,"$1,058"
2018-12-31,16.49,"$1,027"
2019-03-31,18.53,$991
2019-06-30,18.77,"$1,061"
2019-09-30,21.59,"$1,048"
2019-12-31,24.6,"$1,009"
2020-03-31,25.46,$987
2020-06-30,34.2,$896
2020-09-30,34.13,"$1,058"
2020-12-31,34.19,"$1,073"
2021-03-31,38.18,"$1,127"
2021-06-30,34.51,"$1,319"
2021-09-30,35.25,"$1,400"
2021-12-31,40.23,"$1,410"
2022-03-31,30.47,"$1,497"
2022-07-08,27.89,"$1,497"
