Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,21.63,$144
2010-03-31,16.17,$139
2010-06-30,12.98,$143
2010-09-30,12.13,$139
2010-12-31,11.65,$144
2011-03-31,0.0,$139
2011-06-30,0.0,$117
2011-09-30,0.0,$117
2011-12-31,0.0,$123
2012-03-31,15.09,$109
2012-06-30,16.3,$113
2012-09-30,19.8,$108
2012-12-31,14.9,$112
2013-03-31,16.92,$102
2013-06-30,18.94,$98
2013-09-30,0.0,$92
2013-12-31,0.0,$106
2014-03-31,0.0,$100
2014-06-30,0.0,$101
2014-09-30,0.0,$101
2014-12-31,0.0,$100
2015-03-31,0.0,$90
2015-06-30,0.0,$101
2015-09-30,0.0,$101
2015-12-31,0.0,$105
2016-03-31,81.41,$99
2016-06-30,0.0,$104
2016-09-30,82.25,$98
2016-12-31,226.13,$109
2017-03-31,0.0,$103
2017-06-30,110.67,$109
2017-09-30,675.0,$105
2017-12-31,165.76,$117
2018-03-31,78.37,$109
2018-06-30,96.31,$112
2018-09-30,175.18,$112
2018-12-31,73.93,$121
2019-03-31,115.12,$109
2019-06-30,128.98,$116
2019-09-30,0.0,$113
2019-12-31,0.0,$121
2020-03-31,0.0,$105
2020-06-30,0.0,$73
2020-09-30,25.95,$111
2020-12-31,358.17,$118
2021-03-31,0.0,$106
2021-06-30,0.0,$121
2021-09-30,0.0,$112
2021-12-31,0.0,$125
2022-03-31,0.0,$106
2022-07-08,0.0,$106
