Date,PE Ratio,Revenue_Amount(Millions)
2011-09-30,0.0,$11
2011-12-31,0.0,$12
2012-03-31,0.0,$10
2012-06-30,0.0,$7
2012-09-30,0.0,$3
2012-12-31,0.0,$6
2013-03-31,0.0,$6
2013-06-30,0.0,$6
2013-09-30,0.0,$7
2013-12-31,0.0,$9
2014-03-31,0.0,$12
2014-06-30,0.0,$11
2014-09-30,0.0,$21
2014-12-31,0.0,$17
2015-03-31,0.0,$18
2015-06-30,0.0,$25
2015-09-30,0.0,$14
2015-12-31,0.0,$36
2016-03-31,0.0,$19
2016-06-30,0.0,$21
2016-09-30,0.0,$25
2016-12-31,0.0,$26
2017-03-31,0.0,$25
2017-06-30,0.0,$20
2017-09-30,0.0,$24
2017-12-31,0.0,$25
2018-03-31,0.0,$19
2018-06-30,0.0,$22
2018-09-30,0.0,$18
2018-12-31,0.0,$20
2019-03-31,0.0,$16
2019-06-30,0.0,$25
2019-09-30,0.0,$22
2019-12-31,0.0,$28
2020-03-31,0.0,$16
2020-06-30,0.0,$17
2020-09-30,0.0,$19
2020-12-31,288.22,$27
2021-03-31,0.0,$29
2021-06-30,0.0,$31
2021-09-30,0.0,$35
2021-12-31,0.0,$36
2022-03-31,0.0,$33
2022-07-08,0.0,$33
