Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,14.24,"$2,439"
2010-03-31,12.9,"$2,477"
2010-06-30,8.5,"$2,615"
2010-09-30,9.6,"$2,670"
2010-12-31,11.49,"$2,670"
2011-03-31,11.72,"$2,751"
2011-06-30,12.34,"$2,830"
2011-09-30,7.3,"$2,898"
2011-12-31,7.82,"$2,959"
2012-03-31,9.33,"$3,156"
2012-06-30,7.67,"$3,315"
2012-09-30,11.78,"$3,336"
2012-12-31,11.78,"$3,095"
2013-03-31,12.39,"$3,349"
2013-06-30,10.66,"$3,631"
2013-09-30,13.42,"$3,759"
2013-12-31,14.21,"$3,744"
2014-03-31,12.44,"$4,015"
2014-06-30,13.87,"$4,371"
2014-09-30,11.01,"$4,397"
2014-12-31,12.78,"$4,450"
2015-03-31,13.14,"$4,483"
2015-06-30,12.48,"$4,921"
2015-09-30,11.23,"$4,960"
2015-12-31,9.92,"$4,921"
2016-03-31,8.79,"$4,825"
2016-06-30,7.23,"$5,254"
2016-09-30,10.95,"$5,152"
2016-12-31,11.3,"$4,888"
2017-03-31,10.11,"$5,081"
2017-06-30,9.25,"$5,383"
2017-09-30,9.94,"$5,524"
2017-12-31,6.01,"$5,398"
2018-03-31,5.38,"$5,747"
2018-06-30,5.47,"$5,940"
2018-09-30,5.28,"$5,659"
2018-12-31,6.73,"$5,439"
2019-03-31,7.62,"$5,564"
2019-06-30,8.39,"$5,756"
2019-09-30,8.64,"$5,968"
2019-12-31,9.09,"$5,892"
2020-03-31,5.7,"$5,009"
2020-06-30,9.64,"$3,651"
2020-09-30,8.32,"$5,972"
2020-12-31,8.52,"$5,812"
2021-03-31,9.35,"$5,774"
2021-06-30,6.17,"$6,988"
2021-09-30,7.4,"$6,497"
2021-12-31,7.12,"$6,296"
2022-03-31,5.36,"$6,975"
2022-07-08,6.25,"$6,975"
