Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,77.81,"$2,240"
2010-03-31,67.19,"$2,231"
2010-06-30,42.28,"$2,464"
2010-09-30,35.04,"$2,543"
2010-12-31,30.94,"$3,056"
2011-03-31,22.26,"$3,284"
2011-06-30,17.57,"$3,961"
2011-09-30,9.56,"$4,257"
2011-12-31,9.13,"$4,854"
2012-03-31,10.12,"$4,776"
2012-06-30,8.06,"$4,457"
2012-09-30,8.55,"$3,820"
2012-12-31,10.48,"$3,997"
2013-03-31,12.75,"$3,924"
2013-06-30,13.63,"$4,301"
2013-09-30,13.22,"$4,300"
2013-12-31,13.66,"$4,599"
2014-03-31,15.15,"$4,380"
2014-06-30,13.83,"$4,570"
2014-09-30,11.97,"$4,928"
2014-12-31,13.65,"$5,119"
2015-03-31,11.82,"$4,833"
2015-06-30,11.02,"$5,080"
2015-09-30,8.71,"$4,847"
2015-12-31,8.43,"$4,355"
2016-03-31,25.05,"$4,300"
2016-06-30,22.45,"$4,413"
2016-09-30,29.13,"$4,249"
2016-12-31,35.56,"$4,071"
2017-03-31,13.71,"$4,238"
2017-06-30,14.65,"$4,704"
2017-09-30,15.45,"$5,060"
2017-12-31,12.72,"$5,455"
2018-03-31,10.61,"$5,654"
2018-06-30,9.08,"$5,805"
2018-09-30,9.38,"$5,757"
2018-12-31,8.2,"$6,280"
2019-03-31,9.29,"$6,488"
2019-06-30,9.54,"$6,628"
2019-09-30,9.1,"$6,367"
2019-12-31,10.8,"$6,117"
2020-03-31,9.46,"$5,162"
2020-06-30,14.94,"$3,062"
2020-09-30,19.76,"$4,936"
2020-12-31,22.17,"$5,569"
2021-03-31,22.06,"$5,846"
2021-06-30,17.13,"$5,844"
2021-09-30,15.31,"$5,147"
2021-12-31,16.49,"$6,686"
2022-03-31,15.44,"$6,473"
2022-07-08,14.27,"$6,473"
