Date,PE Ratio,Revenue_Amount(Millions)
2014-12-31,0.0,$34
2015-03-31,0.0,$47
2015-06-30,0.0,$40
2015-09-30,0.0,$45
2015-12-31,0.0,$55
2016-03-31,0.0,$71
2016-06-30,0.0,$60
2016-09-30,0.0,$65
2016-12-31,0.0,$69
2017-03-31,482.88,$90
2017-06-30,376.5,$76
2017-09-30,271.22,$82
2017-12-31,214.36,$86
2018-03-31,77.62,$113
2018-06-30,84.09,$97
2018-09-30,92.32,$101
2018-12-31,62.72,$107
2019-03-31,117.36,$140
2019-06-30,96.72,$120
2019-09-30,93.83,$127
2019-12-31,116.17,$132
2020-03-31,70.66,$172
2020-06-30,125.77,$131
2020-09-30,142.85,$136
2020-12-31,171.59,$146
2021-03-31,159.14,$186
2021-06-30,152.64,$167
2021-09-30,177.47,$182
2021-12-31,149.47,$196
2022-03-31,132.75,$246
2022-07-08,126.1,$246
