Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,11.19,"$13,297"
2010-03-31,11.73,"$9,368"
2010-06-30,11.11,"$14,801"
2010-09-30,11.9,"$15,514"
2010-12-31,11.93,"$18,155"
2011-03-31,12.43,"$11,937"
2011-06-30,13.03,"$16,827"
2011-09-30,11.37,"$17,582"
2011-12-31,12.16,"$20,158"
2012-03-31,12.26,"$12,428"
2012-06-30,13.96,"$16,458"
2012-09-30,14.23,"$16,652"
2012-12-31,13.27,"$19,954"
2013-03-31,15.53,"$12,581"
2013-06-30,14.87,"$16,807"
2013-09-30,14.49,"$16,909"
2013-12-31,15.01,"$20,118"
2014-03-31,14.87,"$12,623"
2014-06-30,15.99,"$16,894"
2014-09-30,16.45,"$17,218"
2014-12-31,17.8,"$19,948"
2015-03-31,18.04,"$12,217"
2015-06-30,17.57,"$15,923"
2015-09-30,22.99,"$16,331"
2015-12-31,22.52,"$18,585"
2016-03-31,24.4,"$11,862"
2016-06-30,25.05,"$15,395"
2016-09-30,20.16,"$16,027"
2016-12-31,20.44,"$19,515"
2017-03-31,20.67,"$12,049"
2017-06-30,21.13,"$15,710"
2017-09-30,20.02,"$16,240"
2017-12-31,31.15,"$19,526"
2018-03-31,28.4,"$12,562"
2018-06-30,30.19,"$16,090"
2018-09-30,28.91,"$16,485"
2018-12-31,11.36,"$19,524"
2019-03-31,12.61,"$12,884"
2019-06-30,13.35,"$16,449"
2019-09-30,14.47,"$17,188"
2019-12-31,24.52,"$20,640"
2020-03-31,21.87,"$13,881"
2020-06-30,25.56,"$15,945"
2020-09-30,26.13,"$18,091"
2020-12-31,27.77,"$22,455"
2021-03-31,25.31,"$14,820"
2021-06-30,24.36,"$19,217"
2021-09-30,25.11,"$20,189"
2021-12-31,31.22,"$25,248"
2022-03-31,22.74,"$16,200"
2022-07-08,23.51,"$16,200"
