Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,8.52,$48
2010-03-31,10.57,$50
2010-06-30,8.83,$74
2010-09-30,9.25,$61
2010-12-31,9.95,$45
2011-03-31,9.7,$51
2011-06-30,8.2,$74
2011-09-30,6.55,$58
2011-12-31,7.74,$51
2012-03-31,9.23,$56
2012-06-30,9.42,$69
2012-09-30,7.8,$58
2012-12-31,9.06,$50
2013-03-31,10.68,$51
2013-06-30,9.7,$74
2013-09-30,12.53,$60
2013-12-31,12.94,$50
2014-03-31,10.57,$49
2014-06-30,10.65,$73
2014-09-30,11.78,$58
2014-12-31,12.46,$49
2015-03-31,14.15,$50
2015-06-30,14.31,$72
2015-09-30,12.4,$57
2015-12-31,13.34,$51
2016-03-31,13.82,$55
2016-06-30,14.21,$72
2016-09-30,15.21,$61
2016-12-31,17.47,$53
2017-03-31,14.07,$63
2017-06-30,25.69,$80
2017-09-30,18.37,$67
2017-12-31,22.36,$60
2018-03-31,19.16,$67
2018-06-30,18.62,$87
2018-09-30,13.44,$71
2018-12-31,9.85,$60
2019-03-31,10.71,$65
2019-06-30,9.29,$80
2019-09-30,12.46,$70
2019-12-31,16.98,$60
2020-03-31,20.5,$74
2020-06-30,23.25,$96
2020-09-30,19.57,$75
2020-12-31,19.51,$66
2021-03-31,21.7,$72
2021-06-30,22.34,$79
2021-09-30,20.72,$67
2021-12-31,22.76,$61
2022-03-31,24.44,$66
2022-07-08,21.06,$66
