Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,17.66,$23
2010-03-31,15.79,$18
2010-06-30,16.88,$22
2010-09-30,19.61,$23
2010-12-31,16.89,$25
2011-03-31,16.55,$21
2011-06-30,15.43,$20
2011-09-30,16.26,$20
2011-12-31,33.04,$22
2012-03-31,0.0,$19
2012-06-30,0.0,$18
2012-09-30,0.0,$21
2012-12-31,0.0,$21
2013-03-31,0.0,$19
2013-06-30,0.0,$5
2013-09-30,0.0,$4
2013-12-31,0.0,$4
2014-03-31,0.0,$4
2014-06-30,0.0,$8
2014-09-30,0.0,$6
2014-12-31,0.0,$8
2015-03-31,0.0,$6
2015-06-30,0.0,$9
2015-09-30,0.0,$10
2015-12-31,0.0,$10
2016-03-31,0.0,$9
2016-06-30,0.0,$7
2016-09-30,0.0,$7
2016-12-31,0.0,$9
2017-03-31,0.0,$7
2017-06-30,0.0,$7
2017-09-30,0.0,$8
2017-12-31,0.0,$7
2018-03-31,0.0,$5
2018-06-30,0.0,$8
2018-09-30,0.0,$6
2018-12-31,0.0,$7
2019-03-31,0.0,$7
2019-06-30,0.0,$5
2019-09-30,0.0,$7
2019-12-31,0.0,$6
2020-03-31,0.0,$6
2020-06-30,0.0,$9
2020-09-30,0.0,$7
2020-12-31,0.0,$7
2021-03-31,0.0,$6
2021-06-30,0.0,$6
2021-09-30,0.0,$6
2021-12-31,0.0,$6
2022-03-31,0.0,$5
2022-07-08,0.0,$5
