Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,2.56,$38
2010-03-31,7.06,$45
2010-06-30,6.92,$43
2010-09-30,6.64,$37
2010-12-31,5.7,$36
2011-03-31,7.07,$39
2011-06-30,8.28,$37
2011-09-30,7.45,$34
2011-12-31,8.5,$35
2012-03-31,9.43,$38
2012-06-30,11.11,$36
2012-09-30,11.52,$35
2012-12-31,12.73,$37
2013-03-31,14.98,$41
2013-06-30,10.26,$42
2013-09-30,10.2,$41
2013-12-31,28.03,$46
2014-03-31,24.06,$49
2014-06-30,19.46,$50
2014-09-30,18.01,$46
2014-12-31,10.71,$49
2015-03-31,10.06,$48
2015-06-30,10.39,$45
2015-09-30,10.98,$45
2015-12-31,11.7,$47
2016-03-31,12.07,$47
2016-06-30,11.33,$45
2016-09-30,16.57,$40
2016-12-31,45.43,$44
2017-03-31,43.27,$46
2017-06-30,84.17,$46
2017-09-30,44.0,$44
2017-12-31,36.76,$51
2018-03-31,27.48,$51
2018-06-30,22.45,$52
2018-09-30,21.35,$43
2018-12-31,13.48,$55
2019-03-31,15.76,$52
2019-06-30,12.5,$51
2019-09-30,10.34,$40
2019-12-31,9.38,$49
2020-03-31,0.0,$45
2020-06-30,0.0,$33
2020-09-30,0.0,$32
2020-12-31,0.0,$41
2021-03-31,0.0,$45
2021-06-30,206.0,$49
2021-09-30,21.71,$45
2021-12-31,7.34,$65
2022-03-31,6.53,$82
2022-07-08,13.25,$82
