Date,PE Ratio,Revenue_Amount(Millions)
2015-03-31,21.11,$710
2015-06-30,17.74,$707
2015-09-30,14.24,$785
2015-12-31,12.52,$758
2016-03-31,16.14,$860
2016-06-30,13.88,$845
2016-09-30,20.56,$839
2016-12-31,26.26,$830
2017-03-31,25.44,$915
2017-06-30,41.09,$901
2017-09-30,24.66,$901
2017-12-31,21.41,$882
2018-03-31,21.33,$988
2018-06-30,17.9,$984
2018-09-30,20.15,$970
2018-12-31,16.83,$924
2019-03-31,18.59,"$1,049"
2019-06-30,24.6,"$1,000"
2019-09-30,25.87,$984
2019-12-31,37.98,$941
2020-03-31,0.0,$659
2020-06-30,0.0,$83
2020-09-30,0.0,$278
2020-12-31,0.0,$314
2021-03-31,0.0,$327
2021-06-30,0.0,$420
2021-09-30,0.0,$441
2021-12-31,0.0,$501
2022-03-31,0.0,$585
2022-07-08,0.0,$585
