Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,3.98,$388
2010-03-31,4.38,$515
2010-06-30,4.16,$507
2010-09-30,4.41,$483
2010-12-31,6.86,$445
2011-03-31,7.31,$550
2011-06-30,5.1,$618
2011-09-30,2.72,$628
2011-12-31,2.05,$577
2012-03-31,3.01,$625
2012-06-30,3.03,$605
2012-09-30,4.67,$544
2012-12-31,11.51,$484
2013-03-31,13.84,$510
2013-06-30,17.05,$492
2013-09-30,15.53,$478
2013-12-31,15.08,$420
2014-03-31,14.06,$501
2014-06-30,19.0,$510
2014-09-30,19.06,$536
2014-12-31,12.68,$451
2015-03-31,10.15,$461
2015-06-30,11.35,$979
2015-09-30,18.14,$387
2015-12-31,26.89,$-281
2016-03-31,144.32,$339
2016-06-30,13.26,$373
2016-09-30,13.44,$380
2016-12-31,70.6,$383
2017-06-30,25.0,$386
2017-09-30,454.66,$383
2018-06-30,36.53,$469
2018-09-30,7.27,$521
2019-03-31,6.29,$414
2019-06-30,6.65,$472
2019-09-30,7.36,$429
2019-12-31,0.0,$462
2020-06-30,0.0,$326
2020-09-30,0.0,$437
2021-03-31,31.76,$657
2021-06-30,15.16,$763
2021-09-30,8.71,$706
2021-12-31,8.85,$616
2022-03-31,9.77,$734
2022-07-08,10.08,$734
