Date,PE Ratio,Revenue_Amount(Millions)
2009-11-30,0.0,$34
2010-02-28,0.0,$25
2010-05-31,0.0,$41
2010-08-31,0.0,$46
2010-11-30,0.0,$37
2011-02-28,0.0,$32
2011-05-31,0.0,$48
2011-08-31,0.0,$50
2011-11-30,0.0,$45
2012-02-29,0.0,$37
2012-05-31,0.0,$50
2012-08-31,0.0,$50
2012-11-30,0.0,$42
2013-02-28,0.0,$37
2013-05-31,0.0,$49
2013-08-31,0.0,$49
2013-11-30,0.0,$39
2014-02-28,0.0,$30
2014-05-31,0.0,$35
2014-08-31,0.0,$50
2014-11-30,0.0,$50
2015-02-28,0.0,$38
2015-05-31,0.0,$50
2015-08-31,0.0,$49
2015-11-30,0.0,$59
2016-02-29,0.0,$48
2016-05-31,0.0,$57
2016-08-31,0.0,$61
2016-11-30,0.0,$64
2017-02-28,0.0,$52
2017-03-31,0.0,$684
2017-05-31,0.0,$59
2017-06-30,0.0,$244
2017-08-31,0.0,$58
2017-09-30,25.8,$260
2017-11-30,26.08,$58
2017-12-31,23.36,$294
2018-02-28,38.88,$58
2018-03-31,44.07,$891
2018-06-30,74.55,$322
2018-09-30,0.0,$355
2018-12-31,0.0,$355
2019-03-31,0.0,$328
2019-06-30,0.0,$372
2019-09-30,31.02,$354
2019-12-31,29.35,$342
2020-03-31,15.22,$301
2020-06-30,26.17,$273
2020-09-30,28.78,$322
2020-12-31,30.63,$378
2021-03-31,30.38,$448
2021-06-30,26.26,$510
2021-09-30,23.01,$524
2021-12-31,23.16,$535
2022-03-31,12.67,$638
2022-07-08,12.72,$638
