Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,10.43,$16
2010-03-31,8.61,$4
2010-06-30,7.19,$4
2010-09-30,26.32,$5
2010-12-31,0.0,$5
2011-03-31,0.0,$5
2011-06-30,0.0,$5
2011-09-30,0.0,$6
2011-12-31,0.0,$6
2012-03-31,0.0,$5
2012-06-30,0.0,$5
2012-09-30,0.0,$5
2012-12-31,0.0,$6
2013-03-31,0.0,$5
2013-06-30,0.0,$5
2013-09-30,0.0,$6
2013-12-31,0.0,$8
2014-03-31,0.0,$6
2014-06-30,62.86,$7
2014-09-30,72.83,$7
2014-12-31,42.6,$9
2015-03-31,57.73,$6
2015-06-30,86.88,$9
2015-09-30,97.33,$8
2015-12-31,108.75,$10
2016-03-31,91.67,$7
2016-06-30,0.0,$9
2016-09-30,0.0,$10
2016-12-31,0.0,$10
2017-03-31,0.0,$9
2017-06-30,0.0,$10
2017-09-30,0.0,$10
2017-12-31,409.0,$11
2018-03-31,0.0,$9
2018-06-30,0.0,$10
2018-09-30,0.0,$10
2018-12-31,0.0,$12
2019-03-31,0.0,$9
2019-06-30,0.0,$12
2019-09-30,83.0,$14
2019-12-31,70.33,$15
2020-03-31,264.67,$10
2020-06-30,54.08,$13
2020-09-30,89.57,$13
2020-12-31,118.13,$17
2021-03-31,24.78,$28
2021-06-30,13.92,$19
2021-09-30,11.49,$14
2021-12-31,9.9,$19
2022-03-31,19.03,$18
2022-07-08,9.71,$18
