Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,16.0,$136
2010-03-31,17.28,$129
2010-06-30,12.88,$146
2010-09-30,17.05,$164
2010-12-31,17.21,$173
2011-03-31,22.51,$174
2011-06-30,17.0,$199
2011-09-30,10.98,$233
2011-12-31,12.59,$246
2012-03-31,15.81,$227
2012-06-30,16.72,$256
2012-09-30,20.14,$285
2012-12-31,23.21,$299
2013-03-31,23.51,$308
2013-06-30,25.78,$339
2013-09-30,1126.14,$368
2013-12-31,0.0,$385
2014-03-31,0.0,$365
2014-06-30,0.0,$400
2014-09-30,0.0,$430
2014-12-31,0.0,$477
2015-03-31,0.0,$455
2015-06-30,0.0,$494
2015-09-30,0.0,$522
2015-12-31,0.0,$466
2016-03-31,0.0,$408
2016-06-30,0.0,$420
2016-09-30,0.0,$411
2016-12-31,0.0,$412
2017-03-31,0.0,$374
2017-06-30,0.0,$461
2017-09-30,0.0,$516
2017-12-31,0.0,$510
2018-03-31,0.0,$455
2018-06-30,0.0,$486
2018-09-30,0.0,$444
2018-12-31,0.0,$428
2019-03-31,0.0,$411
2019-06-30,0.0,$462
2019-09-30,0.0,$167
2019-12-31,0.0,$189
2020-03-31,0.0,$179
2020-06-30,0.0,$160
2020-09-30,0.0,$158
2020-12-31,0.0,$253
2021-03-31,0.0,$222
2021-06-30,7.1,$204
2021-09-30,0.85,$216
2021-12-31,0.7,$193
2022-03-31,0.76,$193
2022-07-08,0.73,$193
