Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$5
2010-03-31,0.0,$12
2010-06-30,0.0,$14
2010-09-30,0.0,$42
2010-12-31,6.39,$45
2011-03-31,6.77,$60
2011-06-30,4.93,$47
2011-09-30,3.17,$26
2011-12-31,13.7,$14
2012-03-31,17.16,$38
2012-06-30,15.32,$42
2012-09-30,37.45,$74
2012-12-31,21.17,$87
2013-03-31,16.17,$49
2013-06-30,0.0,$33
2013-09-30,0.0,$44
2013-12-31,0.0,$49
2014-03-31,0.0,$34
2014-06-30,0.0,$64
2014-09-30,0.0,$79
2014-12-31,0.0,$123
2015-03-31,0.0,$112
2015-06-30,0.0,$96
2015-09-30,0.0,$77
2015-12-31,0.0,$91
2016-03-31,0.0,$102
2016-06-30,0.0,$119
2016-09-30,0.0,$143
2016-12-31,15.09,$127
2017-03-31,15.31,$118
2017-06-30,11.08,$117
2017-09-30,18.93,$106
2017-12-31,14.62,$108
2018-03-31,20.93,$98
2018-06-30,53.8,$104
2018-09-30,38.84,$115
2018-12-31,237.24,$98
2019-03-31,112.92,$126
2019-06-30,83.82,$155
2019-09-30,50.88,$148
2019-12-31,40.21,$178
2020-03-31,18.3,$164
2020-06-30,44.53,$92
2020-09-30,37.38,$225
2020-12-31,26.66,$371
2021-03-31,17.8,$366
2021-06-30,14.25,$377
2021-09-30,12.42,$323
2021-12-31,13.31,$408
2022-03-31,15.59,$355
2022-07-08,11.93,$355
