Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,9.32,$499
2010-03-31,8.74,$669
2010-06-30,8.78,$386
2010-09-30,10.36,$308
2010-12-31,11.57,$468
2011-03-31,12.08,$628
2011-06-30,11.56,$389
2011-09-30,13.13,$353
2011-12-31,14.18,$518
2012-03-31,13.16,$658
2012-06-30,14.57,$410
2012-09-30,13.49,$372
2012-12-31,12.36,$489
2013-03-31,13.78,$614
2013-06-30,12.39,$412
2013-09-30,13.21,$387
2013-12-31,15.43,$538
2014-03-31,15.88,$608
2014-06-30,15.74,$453
2014-09-30,14.0,$432
2014-12-31,17.63,$628
2015-03-31,16.48,$734
2015-06-30,15.64,$539
2015-09-30,18.01,$505
2015-12-31,16.27,$685
2016-03-31,19.1,$731
2016-06-30,22.15,$548
2016-09-30,18.74,$540
2016-12-31,20.62,$642
2017-03-31,23.39,$655
2017-06-30,19.58,$560
2017-09-30,19.95,$593
2017-12-31,17.56,$740
2018-03-31,14.23,$754
2018-06-30,15.89,$671
2018-09-30,16.42,$668
2018-12-31,18.78,$787
2019-03-31,19.58,$834
2019-06-30,21.64,$713
2019-09-30,22.89,$725
2019-12-31,17.73,$848
2020-03-31,18.5,$836
2020-06-30,17.18,$757
2020-09-30,14.96,$791
2020-12-31,13.99,$914
2021-03-31,13.6,$886
2021-06-30,13.93,$821
2021-09-30,15.96,$889
2021-12-31,20.16,"$1,084"
2022-03-31,26.18,"$1,267"
2022-07-08,29.07,"$1,267"
