Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,26.65,$133
2010-03-31,21.08,$116
2010-06-30,18.46,$146
2010-09-30,16.17,$153
2010-12-31,15.54,$160
2011-03-31,13.93,$142
2011-06-30,14.3,$143
2011-09-30,14.31,$133
2011-12-31,17.95,$145
2012-03-31,22.4,$132
2012-06-30,18.01,$138
2012-09-30,17.41,$127
2012-12-31,24.98,$143
2013-03-31,20.97,$163
2013-06-30,13.44,$230
2013-09-30,11.99,$223
2013-12-31,13.49,$206
2014-03-31,36.38,$204
2014-06-30,72.51,$315
2014-09-30,78.71,$283
2014-12-31,70.97,$464
2015-03-31,27.94,$478
2015-06-30,30.22,$479
2015-09-30,29.37,$470
2015-12-31,24.95,$471
2016-03-31,27.12,$403
2016-06-30,28.29,$324
2016-09-30,42.45,$386
2016-12-31,49.16,$461
2017-03-31,72.81,$444
2017-06-30,37.47,$427
2017-09-30,79.96,$417
2017-12-31,0.0,$430
2018-03-31,0.0,$394
2018-06-30,0.0,$389
2018-09-30,0.0,$418
2018-12-31,1240.33,$426
2019-03-31,64.11,$334
2019-06-30,0.0,$295
2019-09-30,0.0,$340
2019-12-31,0.0,$388
2020-03-31,0.0,$328
2020-06-30,17.73,$278
2020-09-30,25.21,$328
2020-12-31,24.28,$358
2021-03-31,32.4,$326
2021-06-30,73.73,$328
2021-09-30,56.52,$373
2021-12-31,82.01,$421
2022-03-31,41.82,$470
2022-07-08,25.12,$470
