Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,14.44,"$1,262"
2010-03-31,16.12,"$1,222"
2010-06-30,17.27,"$1,232"
2010-09-30,18.02,"$1,266"
2010-12-31,20.29,"$1,266"
2011-03-31,19.65,"$1,259"
2011-06-30,13.21,"$1,280"
2011-09-30,7.78,"$1,325"
2011-12-31,10.55,"$1,317"
2012-03-31,9.68,"$1,306"
2012-06-30,11.52,"$1,323"
2012-09-30,18.5,"$1,370"
2012-12-31,23.16,"$1,346"
2013-03-31,59.38,"$1,309"
2013-06-30,14.93,"$1,228"
2013-09-30,24.8,"$1,181"
2013-12-31,16.14,"$1,184"
2014-03-31,14.77,"$1,196"
2014-06-30,0.0,"$1,236"
2014-09-30,0.0,"$1,280"
2014-12-31,0.0,"$1,297"
2015-03-31,0.0,"$1,252"
2015-06-30,76.01,"$1,276"
2015-09-30,11.22,"$1,374"
2015-12-31,10.88,"$1,308"
2016-03-31,34.65,"$1,254"
2016-06-30,32.55,"$1,295"
2016-09-30,55.0,"$1,314"
2016-12-31,64.89,"$1,292"
2017-03-31,35.59,"$1,238"
2017-06-30,49.94,"$1,247"
2017-09-30,0.0,"$1,251"
2017-12-31,18.41,"$1,308"
2018-03-31,18.53,"$1,225"
2018-06-30,15.85,"$1,255"
2018-09-30,7.58,"$1,297"
2018-12-31,24.84,"$1,332"
2019-03-31,20.74,"$1,257"
2019-06-30,20.79,"$1,261"
2019-09-30,21.9,"$1,321"
2019-12-31,22.57,"$1,337"
2020-03-31,13.82,"$1,261"
2020-06-30,13.23,"$1,263"
2020-09-30,9.07,"$1,324"
2020-12-31,9.12,"$1,377"
2021-03-31,12.05,"$1,318"
2021-06-30,15.24,"$1,311"
2021-09-30,18.74,"$1,328"
2021-12-31,19.73,"$1,372"
2022-03-31,20.97,"$1,315"
2022-07-08,16.99,"$1,315"
