Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$23
2010-03-31,0.0,$21
2010-06-30,0.0,$25
2010-09-30,0.0,$22
2010-12-31,0.0,$27
2011-03-31,297.0,$23
2011-06-30,126.17,$28
2011-09-30,63.44,$26
2011-12-31,53.09,$29
2012-03-31,57.75,$24
2012-06-30,38.77,$26
2012-09-30,45.46,$25
2012-12-31,55.5,$25
2013-03-31,97.8,$20
2013-06-30,0.0,$23
2013-09-30,0.0,$22
2013-12-31,0.0,$24
2014-03-31,0.0,$23
2014-06-30,176.4,$26
2014-09-30,122.71,$26
2014-12-31,94.75,$31
2015-03-31,88.69,$24
2015-06-30,52.53,$30
2015-09-30,42.6,$29
2015-12-31,38.24,$29
2016-03-31,37.1,$25
2016-06-30,42.63,$29
2016-09-30,62.0,$26
2016-12-31,121.86,$27
2017-03-31,129.0,$24
2017-06-30,207.4,$27
2017-09-30,99.5,$28
2017-12-31,58.0,$30
2018-03-31,64.13,$27
2018-06-30,69.27,$31
2018-09-30,41.32,$31
2018-12-31,27.75,$32
2019-03-31,33.2,$30
2019-06-30,43.37,$34
2019-09-30,40.95,$34
2019-12-31,43.5,$36
2020-03-31,36.8,$31
2020-06-30,51.78,$35
2020-09-30,69.78,$36
2020-12-31,96.9,$46
2021-03-31,117.71,$53
2021-06-30,131.34,$64
2021-09-30,123.01,$70
2021-12-31,0.0,$77
2022-03-31,478.12,$68
2022-07-08,391.71,$68
