Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,6.03,"$2,310"
2010-03-31,7.51,"$2,330"
2010-06-30,7.2,"$2,333"
2010-09-30,8.7,"$2,442"
2010-12-31,8.35,"$2,561"
2011-03-31,9.01,"$2,425"
2011-06-30,9.56,"$2,618"
2011-09-30,7.92,"$2,682"
2011-12-31,9.15,"$2,704"
2012-03-31,9.51,"$2,643"
2012-06-30,9.94,"$2,640"
2012-09-30,10.59,"$2,774"
2012-12-31,10.78,"$2,847"
2013-03-31,11.49,"$2,744"
2013-06-30,10.18,"$2,716"
2013-09-30,11.63,"$2,756"
2013-12-31,12.37,"$2,680"
2014-03-31,13.04,"$2,658"
2014-06-30,12.65,"$2,694"
2014-09-30,11.89,"$2,628"
2014-12-31,12.79,"$2,481"
2015-03-31,11.85,"$2,508"
2015-06-30,13.1,"$2,523"
2015-09-30,12.44,"$2,413"
2015-12-31,11.45,"$2,410"
2016-03-31,14.33,"$2,257"
2016-06-30,13.71,"$2,418"
2016-09-30,14.28,"$2,474"
2016-12-31,15.99,"$2,461"
2017-03-31,15.69,"$2,407"
2017-06-30,17.5,"$2,424"
2017-09-30,17.98,"$2,677"
2017-12-31,16.4,"$2,677"
2018-03-31,15.39,"$2,651"
2018-06-30,15.48,"$2,666"
2018-09-30,15.58,"$2,749"
2018-12-31,13.57,"$2,808"
2019-03-31,15.49,"$2,625"
2019-06-30,14.55,"$2,682"
2019-09-30,14.34,"$2,793"
2019-12-31,15.77,"$2,894"
2020-03-31,13.64,"$2,731"
2020-06-30,17.32,"$2,638"
2020-09-30,20.62,"$2,974"
2020-12-31,26.11,"$3,109"
2021-03-31,27.36,"$3,177"
2021-06-30,29.85,"$3,346"
2021-09-30,28.74,"$3,373"
2021-12-31,24.05,"$3,540"
2022-03-31,26.11,"$3,361"
2022-07-08,22.41,"$3,361"
