Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,6.91,$29
2010-03-31,9.32,$29
2010-06-30,6.75,$30
2010-09-30,8.53,$30
2010-12-31,8.9,$32
2011-03-31,11.79,$32
2011-06-30,12.53,$34
2011-09-30,9.54,$31
2011-12-31,9.91,$31
2012-03-31,12.97,$32
2012-06-30,11.27,$34
2012-09-30,11.57,$32
2012-12-31,11.64,$33
2013-03-31,13.13,$34
2013-06-30,12.8,$36
2013-09-30,14.5,$35
2013-12-31,15.86,$35
2014-03-31,15.32,$35
2014-06-30,16.85,$34
2014-09-30,16.78,$35
2014-12-31,23.19,$35
2015-03-31,22.78,$34
2015-06-30,19.74,$36
2015-09-30,21.76,$34
2015-12-31,22.47,$34
2016-03-31,22.72,$35
2016-06-30,21.67,$38
2016-09-30,23.45,$37
2016-12-31,23.14,$37
2017-03-31,20.72,$37
2017-06-30,23.01,$38
2017-09-30,25.78,$36
2017-12-31,22.06,$37
2018-03-31,24.58,$43
2018-06-30,22.36,$49
2018-09-30,21.49,$48
2018-12-31,15.56,$51
2019-03-31,17.08,$47
2019-06-30,18.33,$51
2019-09-30,15.69,$49
2019-12-31,18.79,$50
2020-03-31,14.32,$48
2020-06-30,18.75,$43
2020-09-30,20.71,$43
2020-12-31,26.18,$45
2021-03-31,27.52,$49
2021-06-30,27.08,$51
2021-09-30,27.74,$51
2021-12-31,33.62,$56
2022-03-31,30.35,$71
2022-07-08,36.72,$71
