Date,PE Ratio,Revenue_Amount(Millions)
2016-03-31,343.6,"$1,999"
2016-06-30,41.11,"$2,263"
2016-09-30,0.0,"$2,000"
2016-12-31,0.0,"$1,813"
2017-03-31,0.0,"$1,999"
2017-06-30,0.0,"$2,247"
2017-09-30,125.78,"$2,049"
2017-12-31,36.42,"$1,959"
2018-03-31,24.13,"$2,158"
2018-06-30,19.73,"$2,373"
2018-09-30,21.9,"$2,131"
2018-12-31,14.54,"$1,971"
2019-03-31,67.15,"$2,160"
2019-06-30,734.67,"$2,585"
2019-09-30,0.0,"$2,387"
2019-12-31,0.0,"$2,155"
2020-03-31,97.45,"$2,211"
2020-06-30,843.0,"$2,009"
2020-09-30,93.78,"$2,009"
2020-12-31,61.32,"$2,035"
2021-03-31,58.22,"$2,155"
2021-06-30,19.35,"$2,394"
2021-09-30,15.08,"$2,488"
2021-12-31,10.54,"$2,498"
2022-03-31,9.57,"$2,883"
2022-07-08,7.24,"$2,883"
