Date,PE Ratio,Revenue_Amount(Millions)
2014-06-30,128.57,$254
2014-09-30,86.8,$297
2014-12-31,14.09,$269
2015-03-31,12.8,$249
2015-06-30,10.38,$263
2015-09-30,9.56,$307
2015-12-31,11.67,$238
2016-03-31,13.09,$288
2016-06-30,9.94,$284
2016-09-30,10.11,$384
2016-12-31,8.36,$305
2017-03-31,18.59,$279
2017-06-30,0.0,$322
2017-09-30,0.0,$370
2017-12-31,0.0,$287
2018-03-31,0.0,$312
2018-06-30,50.8,$322
2018-09-30,0.0,$386
2018-12-31,0.0,$366
2019-03-31,17.75,$375
2019-06-30,18.04,$436
2019-09-30,10.65,$489
2019-12-31,7.66,$544
2020-03-31,7.3,$395
2020-06-30,0.0,$65
2020-09-30,0.0,$214
2020-12-31,0.0,$436
2021-03-31,0.0,$315
2021-06-30,0.0,$581
2021-12-31,22.75,$581
2022-03-31,0.0,$567
2022-07-08,0.0,$567
