Date,PE Ratio,Revenue_Amount(Millions)
2015-03-31,0.0,$96
2015-06-30,0.0,$108
2015-09-30,116.9,$125
2015-12-31,114.71,$149
2016-03-31,85.48,$119
2016-06-30,91.65,$147
2016-09-30,131.95,$177
2016-12-31,84.58,$213
2017-03-31,79.06,$199
2017-06-30,76.4,$253
2017-09-30,83.85,$320
2017-12-31,65.9,$377
2018-03-31,66.41,$350
2018-06-30,42.47,$427
2018-09-30,30.86,$460
2018-12-31,23.19,$482
2019-03-31,22.62,$399
2019-06-30,16.88,$432
2019-09-30,17.97,$468
2019-12-31,21.26,$468
2020-03-31,18.92,$323
2020-06-30,15.63,$387
2020-09-30,21.95,$466
2020-12-31,29.92,$513
2021-03-31,37.1,$459
2021-06-30,61.91,$574
2021-09-30,32.09,$607
2021-12-31,16.75,$616
2022-03-31,18.29,$485
2022-07-08,17.04,$485
