Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,125.25,$146
2010-03-31,134.13,$158
2010-06-30,0.0,$150
2010-09-30,0.0,$154
2010-12-31,96.08,$153
2011-03-31,50.24,$159
2011-06-30,25.0,$126
2011-09-30,36.21,$118
2011-12-31,30.97,$117
2012-03-31,44.63,$113
2012-06-30,30.41,$108
2012-09-30,32.0,$113
2012-12-31,29.8,$120
2013-03-31,35.1,$119
2013-06-30,34.06,$122
2013-09-30,35.97,$123
2013-12-31,31.3,$127
2014-03-31,22.78,$130
2014-06-30,21.55,$131
2014-09-30,22.51,$134
2014-12-31,19.13,$136
2015-03-31,21.91,$133
2015-06-30,23.88,$134
2015-09-30,24.96,$141
2015-12-31,28.1,$144
2016-03-31,27.12,$143
2016-06-30,24.11,$148
2016-09-30,27.99,$150
2016-12-31,24.6,$145
2017-03-31,39.74,$159
2017-06-30,42.42,$180
2017-09-30,39.25,$187
2017-12-31,36.82,$189
2018-03-31,27.31,$203
2018-06-30,29.65,$200
2018-09-30,26.99,$199
2018-12-31,21.49,$200
2019-03-31,26.37,$210
2019-06-30,27.79,$215
2019-09-30,26.58,$226
2019-12-31,29.27,$239
2020-03-31,19.02,$248
2020-06-30,27.22,$208
2020-09-30,31.66,$223
2020-12-31,35.67,$238
2021-03-31,36.59,$244
2021-06-30,36.14,$253
2021-09-30,35.72,$274
2021-12-31,37.22,$284
2022-03-31,32.88,$299
2022-07-08,29.83,$299
