Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,16.88,$9
2010-03-31,15.65,$9
2010-06-30,16.06,$10
2010-09-30,17.49,$10
2010-12-31,18.74,$10
2011-03-31,18.49,$10
2011-06-30,17.48,$10
2011-09-30,17.7,$10
2011-12-31,19.73,$10
2012-03-31,20.05,$10
2012-06-30,21.52,$10
2012-09-30,21.58,$11
2012-12-31,20.25,$10
2013-03-31,21.23,$10
2013-06-30,21.35,$11
2013-09-30,23.3,$11
2013-12-31,23.48,$11
2014-03-31,23.36,$11
2014-06-30,22.78,$12
2014-09-30,20.96,$12
2014-12-31,22.55,$11
2015-03-31,22.72,$11
2015-06-30,19.65,$12
2015-09-30,18.92,$12
2015-12-31,22.81,$12
2016-03-31,28.36,$11
2016-06-30,29.61,$12
2016-09-30,27.84,$13
2016-12-31,37.57,$12
2017-03-31,34.25,$11
2017-06-30,34.22,$12
2017-09-30,32.06,$13
2017-12-31,30.94,$12
2018-03-31,28.45,$12
2018-06-30,28.49,$12
2018-09-30,27.92,$13
2018-12-31,29.04,$12
2019-03-31,30.64,$12
2019-06-30,31.46,$13
2019-09-30,36.57,$14
2019-12-31,39.82,$13
2020-03-31,34.87,$13
2020-06-30,37.38,$13
2020-09-30,32.82,$14
2020-12-31,35.75,$13
2021-03-31,38.65,$13
2021-06-30,35.05,$14
2021-09-30,33.94,$15
2021-12-31,37.94,$14
2022-03-31,34.16,$14
2022-07-08,31.63,$14
