date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,53.838,12.5,39186,0.1041758241758241,54.734,12.5,39186,0.1041758241758241,53.763,54.951,54.34271428571429,0.49392634885704534,52.663,54.2,53.65114285714286,0.6225486402874989
2012-01-25,57.201,12.5,39186,0.1041758241758241,53.838,12.5,39186,0.1041758241758241,53.763,54.951,54.32485714285714,0.5118757754805578,52.946,54.2,53.83685714285714,0.4481072894487967
2012-01-26,56.942,12.5,39186,0.1041758241758241,57.201,12.5,39186,0.1041758241758241,53.824,57.201,54.815999999999995,1.1431000247864105,53.534,54.2,53.95357142857143,0.23139926328237034
2012-01-27,57.28,12.5,39186,0.1041758241758241,56.942,12.5,39186,0.1041758241758241,53.824,57.201,55.18114285714285,1.3688034225278096,53.763,54.386,54.07528571428572,0.19516122760915328
2012-01-30,58.012,12.5,39186,0.1041758241758241,57.28,12.5,39186,0.1041758241758241,53.824,57.28,55.51385714285715,1.5715746274115836,53.763,54.951,54.19771428571428,0.38516910324589654
2012-01-31,58.459,12.5,39186,0.1041758241758241,58.012,12.5,39186,0.1041758241758241,53.824,58.012,55.975857142857144,1.780646177522046,53.763,54.951,54.30771428571428,0.42937385197740807
2012-02-01,58.42,12.5,39186,0.1041758241758241,58.459,12.5,39186,0.1041758241758241,53.838,58.459,56.638,1.7073703952765353,53.763,54.951,54.254000000000005,0.466967522068375
2012-02-02,58.283,12.5,39186,0.1041758241758241,58.42,12.5,39186,0.1041758241758241,53.838,58.459,57.164571428571435,1.5864030443262918,53.763,54.951,54.34271428571429,0.49392634885704534
2012-02-03,58.866,12.5,39186,0.1041758241758241,58.283,12.5,39186,0.1041758241758241,56.942,58.459,57.799571428571426,0.6406087878321308,53.763,54.951,54.32485714285714,0.5118757754805578
2012-02-06,59.416,12.5,39186,0.1041758241758241,58.866,12.5,39186,0.1041758241758241,56.942,58.866,58.03742857142858,0.6886251658542261,53.824,57.201,54.815999999999995,1.1431000247864105
2012-02-07,60.04,12.5,39186,0.1041758241758241,59.416,12.5,39186,0.1041758241758241,57.28,59.416,58.39085714285714,0.6672506846685342,53.824,57.201,55.18114285714285,1.3688034225278096
2012-02-08,61.045,12.5,39186,0.1041758241758241,60.04,12.5,39186,0.1041758241758241,58.012,60.04,58.78514285714285,0.7151667471231022,53.824,57.28,55.51385714285715,1.5715746274115836
2012-02-09,63.158,12.5,39186,0.1041758241758241,61.045,12.5,39186,0.1041758241758241,58.283,61.045,59.21842857142857,1.021749293637042,53.824,58.012,55.975857142857144,1.780646177522046
2012-02-10,63.189,12.5,39186,0.1041758241758241,63.158,12.5,39186,0.1041758241758241,58.283,63.158,59.889714285714284,1.7345964674131285,53.838,58.459,56.638,1.7073703952765353
2012-02-13,64.365,12.5,39186,0.1041758241758241,63.189,12.5,39186,0.1041758241758241,58.283,63.189,60.57099999999999,1.9802829764119303,53.838,58.459,57.164571428571435,1.5864030443262918
2012-02-14,65.242,12.5,39186,0.1041758241758241,64.365,12.5,39186,0.1041758241758241,58.866,64.365,61.43985714285714,2.1371408804422316,56.942,58.459,57.799571428571426,0.6406087878321308
2012-02-15,63.733,12.5,39186,0.1041758241758241,65.242,12.5,39186,0.1041758241758241,59.416,65.242,62.35071428571428,2.2146539018009563,56.942,58.866,58.03742857142858,0.6886251658542261
2012-02-16,64.314,12.5,39186,0.1041758241758241,63.733,12.5,39186,0.1041758241758241,60.04,65.242,62.96742857142857,1.828658967398769,57.28,59.416,58.39085714285714,0.6672506846685342
2012-02-17,64.303,12.5,39186,0.1041758241758241,64.314,12.5,39186,0.1041758241758241,61.045,65.242,63.577999999999996,1.3352774992488763,58.012,60.04,58.78514285714285,0.7151667471231022
2012-02-21,65.932,12.5,39186,0.1041758241758241,64.303,12.5,39186,0.1041758241758241,63.158,65.242,64.04342857142856,0.7406040006066945,58.283,61.045,59.21842857142857,1.021749293637042
2012-02-22,65.701,12.5,39186,0.1041758241758241,65.932,12.5,39186,0.1041758241758241,63.189,65.932,64.43971428571429,0.9105298300599216,58.283,63.158,59.889714285714284,1.7345964674131285
2012-02-23,66.129,12.5,39186,0.1041758241758241,65.701,12.5,39186,0.1041758241758241,63.733,65.932,64.79857142857142,0.8265887444076094,58.283,63.189,60.57099999999999,1.9802829764119303
2012-02-24,66.902,12.5,39186,0.1041758241758241,66.129,12.5,39186,0.1041758241758241,63.733,66.129,65.05057142857143,0.9342574336773366,58.866,64.365,61.43985714285714,2.1371408804422316
2012-02-27,67.331,12.5,39186,0.1041758241758241,66.902,12.5,39186,0.1041758241758241,63.733,66.902,65.28771428571427,1.1715024134684193,59.416,65.242,62.35071428571428,2.2146539018009563
2012-02-28,68.565,12.5,39186,0.1041758241758241,67.331,12.5,39186,0.1041758241758241,64.303,67.331,65.80171428571428,1.1649760676064127,60.04,65.242,62.96742857142857,1.828658967398769
2012-02-29,69.466,12.5,39186,0.1041758241758241,68.565,12.5,39186,0.1041758241758241,64.303,68.565,66.409,1.3530150282488216,61.045,65.242,63.577999999999996,1.3352774992488763
2012-03-01,69.724,12.5,39186,0.1041758241758241,69.466,12.5,39186,0.1041758241758241,65.701,69.466,67.14657142857143,1.4192621154605216,63.158,65.242,64.04342857142856,0.7406040006066945
2012-03-02,69.818,12.5,39186,0.1041758241758241,69.724,12.5,39186,0.1041758241758241,65.701,69.724,67.68828571428571,1.5916240881865884,63.189,65.932,64.43971428571429,0.9105298300599216
2012-03-05,68.277,12.5,39186,0.1041758241758241,69.818,12.5,39186,0.1041758241758241,66.129,69.818,68.27642857142857,1.4924586936935715,63.733,65.932,64.79857142857142,0.8265887444076094
2012-03-06,67.905,12.5,39186,0.1041758241758241,68.277,12.5,39186,0.1041758241758241,66.902,69.818,68.58328571428571,1.1614659866288908,63.733,66.129,65.05057142857143,0.9342574336773366
2012-03-07,67.962,12.5,39186,0.1041758241758241,67.905,12.5,39186,0.1041758241758241,67.331,69.818,68.72657142857143,0.964680751534695,63.733,66.902,65.28771428571427,1.1715024134684193
2012-03-08,69.408,12.5,39186,0.1041758241758241,67.962,12.5,39186,0.1041758241758241,67.905,69.818,68.81671428571428,0.8330389575298994,64.303,67.331,65.80171428571428,1.1649760676064127
2012-03-09,69.817,12.5,39186,0.1041758241758241,69.408,12.5,39186,0.1041758241758241,67.905,69.818,68.93714285714286,0.8513186690018495,64.303,68.565,66.409,1.3530150282488216
2012-03-12,70.69,12.5,39186,0.1041758241758241,69.817,12.5,39186,0.1041758241758241,67.905,69.818,68.98728571428572,0.8967830867955252,65.701,69.466,67.14657142857143,1.4192621154605216
2012-03-13,72.75,12.5,39186,0.1041758241758241,70.69,12.5,39186,0.1041758241758241,67.905,70.69,69.12528571428571,1.0838588029639837,65.701,69.724,67.68828571428571,1.5916240881865884
2012-03-14,75.502,12.5,39186,0.1041758241758241,72.75,12.5,39186,0.1041758241758241,67.905,72.75,69.54414285714286,1.7549506572905302,66.129,69.818,68.27642857142857,1.4924586936935715
2012-03-15,74.987,12.5,39186,0.1041758241758241,75.502,12.5,39186,0.1041758241758241,67.905,75.502,70.57628571428572,2.7359425380349855,66.902,69.818,68.58328571428571,1.1614659866288908
2012-03-16,74.989,12.5,39186,0.1041758241758241,74.987,12.5,39186,0.1041758241758241,67.962,75.502,71.588,2.8886548772743432,67.331,69.818,68.72657142857143,0.964680751534695
2012-03-19,76.977,12.5,39186,0.1041758241758241,74.989,12.5,39186,0.1041758241758241,69.408,75.502,72.59185714285715,2.627761495301932,67.905,69.818,68.81671428571428,0.8330389575298994
