date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,26.712,7.79,1137,0.1041758241758241,26.464,7.79,1137,0.1041758241758241,26.029,26.469,26.287714285714284,0.18184032765562147,25.636,27.27,26.302,0.49654338514708996
2012-01-25,27.325,7.79,1137,0.1041758241758241,26.712,7.79,1137,0.1041758241758241,26.096,26.712,26.385285714285715,0.20200636482193252,25.636,26.439,26.124714285714283,0.2571722602237023
2012-01-26,27.27,7.79,1137,0.1041758241758241,27.325,7.79,1137,0.1041758241758241,26.224,27.325,26.56085714285714,0.3715819463552367,25.636,26.439,26.100142857142856,0.24929662958773713
2012-01-27,27.394,7.79,1137,0.1041758241758241,27.27,7.79,1137,0.1041758241758241,26.224,27.325,26.702142857142857,0.430749512892526,25.636,26.281,26.077571428571428,0.21878898292102072
2012-01-30,26.657,7.79,1137,0.1041758241758241,27.394,7.79,1137,0.1041758241758241,26.224,27.394,26.83428571428571,0.4856867008973775,25.636,26.469,26.11357142857143,0.2620164480478572
2012-01-31,24.934,7.79,1137,0.1041758241758241,26.657,7.79,1137,0.1041758241758241,26.451,27.394,26.896142857142856,0.4178410497511594,25.636,26.469,26.110857142857146,0.2605464952565523
2012-02-01,26.009,7.79,1137,0.1041758241758241,24.934,7.79,1137,0.1041758241758241,24.934,27.394,26.67942857142857,0.8534873279947537,25.636,26.469,26.16942857142857,0.28696971799759036
2012-02-02,26.307,7.79,1137,0.1041758241758241,26.009,7.79,1137,0.1041758241758241,24.934,27.394,26.614428571428572,0.889206923264184,26.029,26.469,26.287714285714284,0.18184032765562147
2012-02-03,26.663,7.79,1137,0.1041758241758241,26.307,7.79,1137,0.1041758241758241,24.934,27.394,26.556571428571427,0.8949575142882236,26.096,26.712,26.385285714285715,0.20200636482193252
2012-02-06,27.074,7.79,1137,0.1041758241758241,26.663,7.79,1137,0.1041758241758241,24.934,27.394,26.462,0.8330598217815268,26.224,27.325,26.56085714285714,0.3715819463552367
2012-02-07,26.575,7.79,1137,0.1041758241758241,27.074,7.79,1137,0.1041758241758241,24.934,27.394,26.433999999999997,0.8041687219317447,26.224,27.325,26.702142857142857,0.430749512892526
2012-02-08,27.227,7.79,1137,0.1041758241758241,26.575,7.79,1137,0.1041758241758241,24.934,27.074,26.317000000000004,0.6931308197832028,26.224,27.394,26.83428571428571,0.4856867008973775
