date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,6.2938,0.68,6392,0.1041758241758241,6.3477,0.68,6392,0.1041758241758241,5.8877,6.3477,6.116785714285714,0.18765960698892517,5.502,5.8674,5.681785714285715,0.14015192267169027
2012-01-25,6.3885,0.68,6392,0.1041758241758241,6.2938,0.68,6392,0.1041758241758241,5.8877,6.3477,6.165128571428572,0.18267742712484247,5.502,5.9554,5.712728571428571,0.17453141755651252
2012-01-26,6.4154,0.68,6392,0.1041758241758241,6.3885,0.68,6392,0.1041758241758241,5.9687,6.3885,6.236671428571428,0.1512865792052248,5.502,5.9554,5.737857142857143,0.18661962970297682
2012-01-27,6.5307,0.68,6392,0.1041758241758241,6.4154,0.68,6392,0.1041758241758241,6.0906,6.4154,6.300485714285714,0.10720319380459001,5.502,5.9687,5.798742857142857,0.18172132380050932
2012-01-30,6.3276,0.68,6392,0.1041758241758241,6.5307,0.68,6392,0.1041758241758241,6.2601,6.5307,6.363357142857143,0.09149866769781903,5.59,6.0906,5.882828571428571,0.15586706637693665
2012-01-31,6.1686,0.68,6392,0.1041758241758241,6.3276,0.68,6392,0.1041758241758241,6.2938,6.5307,6.372999999999999,0.08185116574205313,5.82,6.2601,5.9785571428571425,0.15176994495115326
2012-02-01,6.5102,0.68,6392,0.1041758241758241,6.1686,0.68,6392,0.1041758241758241,6.1686,6.5307,6.353185714285715,0.11173801842660609,5.8674,6.3073,6.048171428571428,0.1766414231740455
2012-02-02,6.6051,0.68,6392,0.1041758241758241,6.5102,0.68,6392,0.1041758241758241,6.1686,6.5307,6.376399999999999,0.1263351231183675,5.8877,6.3477,6.116785714285714,0.18765960698892517
2012-02-03,6.8283,0.68,6392,0.1041758241758241,6.6051,0.68,6392,0.1041758241758241,6.1686,6.6051,6.420871428571429,0.1457168225736205,5.8877,6.3477,6.165128571428572,0.18267742712484247
2012-02-06,6.7267,0.68,6392,0.1041758241758241,6.8283,0.68,6392,0.1041758241758241,6.1686,6.8283,6.4837,0.21004701061111533,5.9687,6.3885,6.236671428571428,0.1512865792052248
