date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,16.532,5.77,1018,0.1041758241758241,16.449,5.77,1018,0.1041758241758241,16.087,16.587,16.318142857142856,0.16122595797144756,15.703,16.242,15.941428571428572,0.21357579227903917
2012-01-25,16.834,5.77,1018,0.1041758241758241,16.532,5.77,1018,0.1041758241758241,16.087,16.587,16.356428571428573,0.17725015951366796,15.788,16.264,16.021571428571427,0.2144495722719433
2012-01-26,16.817,5.77,1018,0.1041758241758241,16.834,5.77,1018,0.1041758241758241,16.087,16.834,16.443285714285715,0.2404022422841348,15.788,16.264,16.078857142857142,0.20660383069329397
2012-01-27,17.071,5.77,1018,0.1041758241758241,16.817,5.77,1018,0.1041758241758241,16.28,16.834,16.547571428571427,0.2173145624380034,15.788,16.264,16.119285714285716,0.16792331016043777
2012-01-30,17.563,5.77,1018,0.1041758241758241,17.071,5.77,1018,0.1041758241758241,16.334,17.071,16.660571428571426,0.257019361879519,16.04,16.28,16.18957142857143,0.09191274330011692
2012-01-31,17.585,5.77,1018,0.1041758241758241,17.563,5.77,1018,0.1041758241758241,16.449,17.563,16.836142857142857,0.3847737121007791,16.087,16.334,16.231571428571428,0.07834508523802444
2012-02-01,17.693,5.77,1018,0.1041758241758241,17.585,5.77,1018,0.1041758241758241,16.449,17.585,16.978714285714286,0.45547290965388537,16.087,16.587,16.28085714285714,0.1560154143788704
2012-02-02,17.74,5.77,1018,0.1041758241758241,17.693,5.77,1018,0.1041758241758241,16.532,17.693,17.15642857142857,0.4570309461232273,16.087,16.587,16.318142857142856,0.16122595797144756
2012-02-03,17.755,5.77,1018,0.1041758241758241,17.74,5.77,1018,0.1041758241758241,16.817,17.74,17.329,0.4073168299984748,16.087,16.587,16.356428571428573,0.17725015951366796
2012-02-06,17.778,5.77,1018,0.1041758241758241,17.755,5.77,1018,0.1041758241758241,16.817,17.755,17.46057142857143,0.36758575287175094,16.087,16.834,16.443285714285715,0.2404022422841348
2012-02-07,18.161,5.77,1018,0.1041758241758241,17.778,5.77,1018,0.1041758241758241,17.071,17.778,17.597857142857144,0.2467660353259393,16.28,16.834,16.547571428571427,0.2173145624380034
2012-02-08,18.13,5.77,1018,0.1041758241758241,18.161,5.77,1018,0.1041758241758241,17.563,18.161,17.75357142857143,0.19798304400704056,16.334,17.071,16.660571428571426,0.257019361879519
2012-02-09,18.323,5.77,1018,0.1041758241758241,18.13,5.77,1018,0.1041758241758241,17.585,18.161,17.83457142857143,0.22159938112344546,16.449,17.563,16.836142857142857,0.3847737121007791
2012-02-10,18.339,5.77,1018,0.1041758241758241,18.323,5.77,1018,0.1041758241758241,17.693,18.323,17.94,0.25596484133569825,16.449,17.585,16.978714285714286,0.45547290965388537
2012-02-13,18.239,5.77,1018,0.1041758241758241,18.339,5.77,1018,0.1041758241758241,17.74,18.339,18.032285714285713,0.2682298232770695,16.532,17.693,17.15642857142857,0.4570309461232273
2012-02-14,18.177,5.77,1018,0.1041758241758241,18.239,5.77,1018,0.1041758241758241,17.755,18.339,18.103571428571428,0.24269724427970493,16.817,17.74,17.329,0.4073168299984748
2012-02-15,18.261,5.77,1018,0.1041758241758241,18.177,5.77,1018,0.1041758241758241,17.778,18.339,18.163857142857143,0.18790993283260393,16.817,17.755,17.46057142857143,0.36758575287175094
2012-02-16,18.453,5.77,1018,0.1041758241758241,18.261,5.77,1018,0.1041758241758241,18.13,18.339,18.232857142857146,0.08071024010095648,17.071,17.778,17.597857142857144,0.2467660353259393
2012-02-17,18.708,5.77,1018,0.1041758241758241,18.453,5.77,1018,0.1041758241758241,18.13,18.453,18.274571428571427,0.10816939977475447,17.563,18.161,17.75357142857143,0.19798304400704056
2012-02-21,18.585,5.77,1018,0.1041758241758241,18.708,5.77,1018,0.1041758241758241,18.177,18.708,18.357142857142858,0.17768739269802344,17.585,18.161,17.83457142857143,0.22159938112344546
2012-02-22,18.747,5.77,1018,0.1041758241758241,18.585,5.77,1018,0.1041758241758241,18.177,18.708,18.394571428571428,0.1959522536596555,17.693,18.323,17.94,0.25596484133569825
2012-02-23,18.678,5.77,1018,0.1041758241758241,18.747,5.77,1018,0.1041758241758241,18.177,18.747,18.452857142857145,0.2337095266717968,17.74,18.339,18.032285714285713,0.2682298232770695
2012-02-24,18.869,5.77,1018,0.1041758241758241,18.678,5.77,1018,0.1041758241758241,18.177,18.747,18.51557142857143,0.2255155997138524,17.755,18.339,18.103571428571428,0.24269724427970493
2012-02-27,19.007,5.77,1018,0.1041758241758241,18.869,5.77,1018,0.1041758241758241,18.261,18.869,18.614428571428572,0.20290215798334574,17.778,18.339,18.163857142857143,0.18790993283260393
2012-02-28,19.344,5.77,1018,0.1041758241758241,19.007,5.77,1018,0.1041758241758241,18.453,19.007,18.721,0.18106812714191062,18.13,18.339,18.232857142857146,0.08071024010095648
2012-02-29,19.111,5.77,1018,0.1041758241758241,19.344,5.77,1018,0.1041758241758241,18.585,19.344,18.848285714285712,0.258072156760952,18.13,18.453,18.274571428571427,0.10816939977475447
2012-03-01,19.852,5.77,1018,0.1041758241758241,19.111,5.77,1018,0.1041758241758241,18.585,19.344,18.905857142857144,0.2663784454314702,18.177,18.708,18.357142857142858,0.17768739269802344
2012-03-02,19.998,5.77,1018,0.1041758241758241,19.852,5.77,1018,0.1041758241758241,18.678,19.852,19.086857142857145,0.4059258670297051,18.177,18.708,18.394571428571428,0.1959522536596555
2012-03-05,19.591,5.77,1018,0.1041758241758241,19.998,5.77,1018,0.1041758241758241,18.678,19.998,19.26557142857143,0.4966154975239483,18.177,18.747,18.452857142857145,0.2337095266717968
2012-03-06,19.107,5.77,1018,0.1041758241758241,19.591,5.77,1018,0.1041758241758241,18.869,19.998,19.396000000000004,0.4323085317995375,18.177,18.747,18.51557142857143,0.2255155997138524
2012-03-07,19.023,5.77,1018,0.1041758241758241,19.107,5.77,1018,0.1041758241758241,19.007,19.998,19.430000000000003,0.3913745009578482,18.261,18.869,18.614428571428572,0.20290215798334574
2012-03-08,19.199,5.77,1018,0.1041758241758241,19.023,5.77,1018,0.1041758241758241,19.023,19.998,19.432285714285715,0.38852872664524596,18.453,19.007,18.721,0.18106812714191062
2012-03-09,18.747,5.77,1018,0.1041758241758241,19.199,5.77,1018,0.1041758241758241,19.023,19.998,19.411571428571428,0.3977754212043406,18.585,19.344,18.848285714285712,0.258072156760952
2012-03-12,18.3,5.77,1018,0.1041758241758241,18.747,5.77,1018,0.1041758241758241,18.747,19.998,19.359571428571428,0.46219327023186346,18.585,19.344,18.905857142857144,0.2663784454314702
2012-03-13,18.924,5.77,1018,0.1041758241758241,18.3,5.77,1018,0.1041758241758241,18.3,19.998,19.137857142857143,0.5504302646025951,18.678,19.852,19.086857142857145,0.4059258670297051
2012-03-14,18.814,5.77,1018,0.1041758241758241,18.924,5.77,1018,0.1041758241758241,18.3,19.591,18.98442857142857,0.3997807137014329,18.678,19.998,19.26557142857143,0.4966154975239483
2012-03-15,18.783,5.77,1018,0.1041758241758241,18.814,5.77,1018,0.1041758241758241,18.3,19.199,18.873428571428573,0.29827775486554187,18.869,19.998,19.396000000000004,0.4323085317995375
2012-03-16,18.646,5.77,1018,0.1041758241758241,18.783,5.77,1018,0.1041758241758241,18.3,19.199,18.82714285714286,0.2806073345272464,19.007,19.998,19.430000000000003,0.3913745009578482
2012-03-19,18.66,5.77,1018,0.1041758241758241,18.646,5.77,1018,0.1041758241758241,18.3,19.199,18.773285714285716,0.27282211193727546,19.023,19.998,19.432285714285715,0.38852872664524596
2012-03-20,18.362,5.77,1018,0.1041758241758241,18.66,5.77,1018,0.1041758241758241,18.3,18.924,18.696285714285715,0.19861580525036088,19.023,19.998,19.411571428571428,0.3977754212043406
2012-03-21,18.43,5.77,1018,0.1041758241758241,18.362,5.77,1018,0.1041758241758241,18.3,18.924,18.641285714285715,0.23262610507403633,18.747,19.998,19.359571428571428,0.46219327023186346
2012-03-22,18.516,5.77,1018,0.1041758241758241,18.43,5.77,1018,0.1041758241758241,18.362,18.924,18.659857142857142,0.20430404513164854,18.3,19.998,19.137857142857143,0.5504302646025951
2012-03-23,18.629,5.77,1018,0.1041758241758241,18.516,5.77,1018,0.1041758241758241,18.362,18.814,18.601571428571425,0.17203861692741712,18.3,19.591,18.98442857142857,0.3997807137014329
2012-03-26,18.968,5.77,1018,0.1041758241758241,18.629,5.77,1018,0.1041758241758241,18.362,18.783,18.575142857142858,0.14624229731450078,18.3,19.199,18.873428571428573,0.29827775486554187
2012-03-27,18.416,5.77,1018,0.1041758241758241,18.968,5.77,1018,0.1041758241758241,18.362,18.968,18.60157142857143,0.19772190667947026,18.3,19.199,18.82714285714286,0.2806073345272464
2012-03-28,17.832,5.77,1018,0.1041758241758241,18.416,5.77,1018,0.1041758241758241,18.362,18.968,18.568714285714286,0.20795409291937006,18.3,19.199,18.773285714285716,0.27282211193727546
2012-03-29,17.546,5.77,1018,0.1041758241758241,17.832,5.77,1018,0.1041758241758241,17.832,18.968,18.45042857142857,0.34057395532781687,18.3,18.924,18.696285714285715,0.19861580525036088
2012-03-30,18.059,5.77,1018,0.1041758241758241,17.546,5.77,1018,0.1041758241758241,17.546,18.968,18.333857142857145,0.48493863136534443,18.3,18.924,18.641285714285715,0.23262610507403633
2012-04-02,18.638,5.98,1041,0.1523076923076923,18.059,5.77,1018,0.1041758241758241,17.546,18.968,18.280857142857144,0.4928882322837782,18.362,18.924,18.659857142857142,0.20430404513164854
2012-04-03,18.386,5.98,1041,0.1523076923076923,18.638,5.98,1041,0.1523076923076923,17.546,18.968,18.29828571428572,0.5046063529411707,18.362,18.814,18.601571428571425,0.17203861692741712
2012-04-04,18.41,5.98,1041,0.1523076923076923,18.386,5.98,1041,0.1523076923076923,17.546,18.968,18.263571428571428,0.48608156282079285,18.362,18.783,18.575142857142858,0.14624229731450078
2012-04-05,18.498,5.98,1041,0.1523076923076923,18.41,5.98,1041,0.1523076923076923,17.546,18.638,18.183857142857143,0.3869523780223661,18.362,18.968,18.60157142857143,0.19772190667947026
2012-04-09,18.192,5.98,1041,0.1523076923076923,18.498,5.98,1041,0.1523076923076923,17.546,18.638,18.19557142857143,0.396280143813658,18.362,18.968,18.568714285714286,0.20795409291937006
2012-04-10,18.092,5.98,1041,0.1523076923076923,18.192,5.98,1041,0.1523076923076923,17.546,18.638,18.247,0.3632129770075492,17.832,18.968,18.45042857142857,0.34057395532781687
2012-04-11,18.3,5.98,1041,0.1523076923076923,18.092,5.98,1041,0.1523076923076923,18.059,18.638,18.325,0.21663256141837123,17.546,18.968,18.333857142857145,0.48493863136534443
2012-04-12,18.438,5.98,1041,0.1523076923076923,18.3,5.98,1041,0.1523076923076923,18.092,18.638,18.359428571428573,0.1840062110753404,17.546,18.968,18.280857142857144,0.4928882322837782
2012-04-13,18.404,5.98,1041,0.1523076923076923,18.438,5.98,1041,0.1523076923076923,18.092,18.498,18.330857142857145,0.14491771064007403,17.546,18.968,18.29828571428572,0.5046063529411707
2012-04-16,18.27,5.98,1041,0.1523076923076923,18.404,5.98,1041,0.1523076923076923,18.092,18.498,18.333428571428573,0.1462131516461602,17.546,18.968,18.263571428571428,0.48608156282079285
2012-04-17,18.169,5.98,1041,0.1523076923076923,18.27,5.98,1041,0.1523076923076923,18.092,18.498,18.31342857142857,0.1435442523439032,17.546,18.638,18.183857142857143,0.3869523780223661
2012-04-18,18.629,5.98,1041,0.1523076923076923,18.169,5.98,1041,0.1523076923076923,18.092,18.438,18.266428571428573,0.1258038912261373,17.546,18.638,18.19557142857143,0.396280143813658
2012-04-19,18.468,5.98,1041,0.1523076923076923,18.629,5.98,1041,0.1523076923076923,18.092,18.629,18.328857142857142,0.179627789768622,17.546,18.638,18.247,0.3632129770075492
2012-04-20,18.511,5.98,1041,0.1523076923076923,18.468,5.98,1041,0.1523076923076923,18.169,18.629,18.382571428571428,0.15091924677666205,18.059,18.638,18.325,0.21663256141837123
2012-04-23,18.511,5.98,1041,0.1523076923076923,18.511,5.98,1041,0.1523076923076923,18.169,18.629,18.412714285714287,0.15273911776376536,18.092,18.638,18.359428571428573,0.1840062110753404
2012-04-24,18.831,5.98,1041,0.1523076923076923,18.511,5.98,1041,0.1523076923076923,18.169,18.629,18.423142857142857,0.1571808179258034,18.092,18.498,18.330857142857145,0.14491771064007403
2012-04-25,19.399,5.98,1041,0.1523076923076923,18.831,5.98,1041,0.1523076923076923,18.169,18.831,18.48414285714286,0.21915324058100605,18.092,18.498,18.333428571428573,0.1462131516461602
2012-04-26,19.182,5.98,1041,0.1523076923076923,19.399,5.98,1041,0.1523076923076923,18.169,19.399,18.64542857142857,0.3866918916238468,18.092,18.498,18.31342857142857,0.1435442523439032
