date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,16.993,332.16,935,0.1041758241758241,16.916,332.16,935,0.1041758241758241,16.916,17.402,17.127,0.19257119895422353,16.002,17.143,16.663857142857143,0.4447633934919511
2012-01-25,17.032,332.16,935,0.1041758241758241,16.993,332.16,935,0.1041758241758241,16.916,17.335,17.068571428571428,0.15326214703665866,16.203,17.402,16.863857142857146,0.41103261369848687
2012-01-26,17.041,332.16,935,0.1041758241758241,17.032,332.16,935,0.1041758241758241,16.916,17.22,17.02528571428571,0.09846609278615799,16.486,17.402,17.02557142857143,0.3203825094803903
2012-01-27,17.079,332.16,935,0.1041758241758241,17.041,332.16,935,0.1041758241758241,16.916,17.22,17.023999999999997,0.09814784765852404,16.791,17.402,17.106142857142856,0.21598103973221722
2012-01-30,17.43,332.16,935,0.1041758241758241,17.079,332.16,935,0.1041758241758241,16.916,17.22,17.043285714285712,0.09293315570113912,16.916,17.402,17.128,0.18417292598714646
2012-01-31,17.668,332.16,935,0.1041758241758241,17.43,332.16,935,0.1041758241758241,16.916,17.43,17.073285714285714,0.1652470012695307,16.944,17.402,17.17142857142857,0.16012272079341505
2012-02-01,17.972,332.16,935,0.1041758241758241,17.668,332.16,935,0.1041758241758241,16.916,17.668,17.16557142857143,0.2754625547104721,16.944,17.402,17.15414285714286,0.16993374058872637
2012-02-02,18.315,332.16,935,0.1041758241758241,17.972,332.16,935,0.1041758241758241,16.993,17.972,17.31642857142857,0.38384322196389037,16.916,17.402,17.127,0.19257119895422353
2012-02-03,18.601,332.16,935,0.1041758241758241,18.315,332.16,935,0.1041758241758241,17.032,18.315,17.505285714285716,0.5044606738176662,16.916,17.335,17.068571428571428,0.15326214703665866
2012-02-06,17.923,332.16,935,0.1041758241758241,18.601,332.16,935,0.1041758241758241,17.041,18.601,17.72942857142857,0.5988591534862673,16.916,17.22,17.02528571428571,0.09846609278615799
2012-02-07,17.745,332.16,935,0.1041758241758241,17.923,332.16,935,0.1041758241758241,17.079,18.601,17.855428571428572,0.5170747390022924,16.916,17.22,17.023999999999997,0.09814784765852404
2012-02-08,18.182,332.16,935,0.1041758241758241,17.745,332.16,935,0.1041758241758241,17.43,18.601,17.95057142857143,0.3979501045536849,16.916,17.22,17.043285714285712,0.09293315570113912
2012-02-09,18.286,332.16,935,0.1041758241758241,18.182,332.16,935,0.1041758241758241,17.668,18.601,18.058,0.3296371742790391,16.916,17.43,17.073285714285714,0.1652470012695307
2012-02-10,18.4,332.16,935,0.1041758241758241,18.286,332.16,935,0.1041758241758241,17.745,18.601,18.146285714285714,0.2878910177397706,16.916,17.668,17.16557142857143,0.2754625547104721
2012-02-13,18.572,332.16,935,0.1041758241758241,18.4,332.16,935,0.1041758241758241,17.745,18.601,18.207428571428572,0.29014758149538616,16.993,17.972,17.31642857142857,0.38384322196389037
