date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,17.82,50.49,1244,0.1041758241758241,17.78,50.49,1244,0.1041758241758241,16.48,17.79,17.14,0.5998055240381305,16.68,16.85,16.745714285714286,0.05623081683476479
2012-01-25,17.99,50.49,1244,0.1041758241758241,17.82,50.49,1244,0.1041758241758241,16.48,17.82,17.31142857142857,0.597897108523647,16.62,16.78,16.712857142857143,0.05219012860503269
2012-01-26,17.96,50.49,1244,0.1041758241758241,17.99,50.49,1244,0.1041758241758241,16.48,17.99,17.51857142857143,0.5338360725737183,16.54,16.75,16.678571428571427,0.07470577207253189
2012-01-27,18.3,50.49,1244,0.1041758241758241,17.96,50.49,1244,0.1041758241758241,17.12,17.99,17.73,0.29246082358721,16.48,16.75,16.645714285714284,0.10357881747042924
2012-01-30,18.29,50.49,1244,0.1041758241758241,18.3,50.49,1244,0.1041758241758241,17.65,18.3,17.898571428571426,0.21098408877035985,16.48,17.12,16.708571428571428,0.20836095055044732
2012-01-31,18.73,50.49,1244,0.1041758241758241,18.29,50.49,1244,0.1041758241758241,17.78,18.3,17.99,0.22360679774991563,16.48,17.65,16.842857142857145,0.4124202664642867
2012-02-01,19.09,50.49,1244,0.1041758241758241,18.73,50.49,1244,0.1041758241758241,17.78,18.73,18.124285714285715,0.33698947277604197,16.48,17.79,16.99142857142857,0.5407534426282269
2012-02-02,18.83,50.49,1244,0.1041758241758241,19.09,50.49,1244,0.1041758241758241,17.82,19.09,18.31142857142857,0.45648762566023693,16.48,17.79,17.14,0.5998055240381305
2012-02-03,18.98,50.49,1244,0.1041758241758241,18.83,50.49,1244,0.1041758241758241,17.96,19.09,18.455714285714286,0.4343522818656205,16.48,17.82,17.31142857142857,0.597897108523647
2012-02-06,19.03,50.49,1244,0.1041758241758241,18.98,50.49,1244,0.1041758241758241,17.96,19.09,18.59714285714286,0.41831862998250646,16.48,17.99,17.51857142857143,0.5338360725737183
2012-02-07,21.19,50.49,1244,0.1041758241758241,19.03,50.49,1244,0.1041758241758241,18.29,19.09,18.75,0.33361654635219024,17.12,17.99,17.73,0.29246082358721
2012-02-08,21.44,50.49,1244,0.1041758241758241,21.19,50.49,1244,0.1041758241758241,18.29,21.19,19.162857142857142,0.9332508466950878,17.65,18.3,17.898571428571426,0.21098408877035985
2012-02-09,21.25,50.49,1244,0.1041758241758241,21.44,50.49,1244,0.1041758241758241,18.73,21.44,19.61285714285714,1.1713057426893667,17.78,18.3,17.99,0.22360679774991563
2012-02-10,21.14,50.49,1244,0.1041758241758241,21.25,50.49,1244,0.1041758241758241,18.83,21.44,19.972857142857144,1.2399827187735644,17.78,18.73,18.124285714285715,0.33698947277604197
2012-02-13,21.92,50.49,1244,0.1041758241758241,21.14,50.49,1244,0.1041758241758241,18.83,21.44,20.265714285714285,1.2388012638952628,17.82,19.09,18.31142857142857,0.45648762566023693
2012-02-14,21.99,50.49,1244,0.1041758241758241,21.92,50.49,1244,0.1041758241758241,18.98,21.92,20.70714285714286,1.1915775857480102,17.96,19.09,18.455714285714286,0.4343522818656205
2012-02-15,21.58,50.49,1244,0.1041758241758241,21.99,50.49,1244,0.1041758241758241,19.03,21.99,21.13714285714286,0.9905842431903711,17.96,19.09,18.59714285714286,0.41831862998250646
2012-02-16,21.86,50.49,1244,0.1041758241758241,21.58,50.49,1244,0.1041758241758241,21.14,21.99,21.50142857142857,0.3451293753278193,18.29,19.09,18.75,0.33361654635219024
2012-02-17,21.8,50.49,1244,0.1041758241758241,21.86,50.49,1244,0.1041758241758241,21.14,21.99,21.59714285714286,0.3371801835671214,18.29,21.19,19.162857142857142,0.9332508466950878
2012-02-21,21.63,50.49,1244,0.1041758241758241,21.8,50.49,1244,0.1041758241758241,21.14,21.99,21.648571428571433,0.3366713813906652,18.73,21.44,19.61285714285714,1.1713057426893667
2012-02-22,21.58,50.49,1244,0.1041758241758241,21.63,50.49,1244,0.1041758241758241,21.14,21.99,21.702857142857145,0.2889471858149063,18.83,21.44,19.972857142857144,1.2399827187735644
2012-02-23,21.46,50.49,1244,0.1041758241758241,21.58,50.49,1244,0.1041758241758241,21.58,21.99,21.765714285714285,0.16910126579985657,18.83,21.44,20.265714285714285,1.2388012638952628
2012-02-24,21.75,50.49,1244,0.1041758241758241,21.46,50.49,1244,0.1041758241758241,21.46,21.99,21.7,0.18752777572014298,18.98,21.92,20.70714285714286,1.1915775857480102
2012-02-27,21.74,50.49,1244,0.1041758241758241,21.75,50.49,1244,0.1041758241758241,21.46,21.86,21.665714285714284,0.14210995072519345,19.03,21.99,21.13714285714286,0.9905842431903711
2012-02-28,21.61,50.49,1244,0.1041758241758241,21.74,50.49,1244,0.1041758241758241,21.46,21.86,21.68857142857143,0.13885586909032863,21.14,21.99,21.50142857142857,0.3451293753278193
2012-02-29,21.72,50.49,1244,0.1041758241758241,21.61,50.49,1244,0.1041758241758241,21.46,21.8,21.65285714285714,0.11799919289422482,21.14,21.99,21.59714285714286,0.3371801835671214
2012-03-01,21.46,50.49,1244,0.1041758241758241,21.72,50.49,1244,0.1041758241758241,21.46,21.75,21.64142857142857,0.10447145884960554,21.14,21.99,21.648571428571433,0.3366713813906652
2012-03-02,21.4,50.49,1244,0.1041758241758241,21.46,50.49,1244,0.1041758241758241,21.46,21.75,21.617142857142856,0.1252616309583896,21.14,21.99,21.702857142857145,0.2889471858149063
2012-03-05,21.17,50.49,1244,0.1041758241758241,21.4,50.49,1244,0.1041758241758241,21.4,21.75,21.591428571428573,0.15015864626287562,21.58,21.99,21.765714285714285,0.16910126579985657
2012-03-06,20.6,50.49,1244,0.1041758241758241,21.17,50.49,1244,0.1041758241758241,21.17,21.75,21.55,0.21740898478799803,21.46,21.99,21.7,0.18752777572014298
