date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,30.105,49.4,457,0.1041758241758241,30.962,49.4,457,0.1041758241758241,30.934,32.104,31.39071428571429,0.5209976693120391,28.766,31.319,29.900714285714287,0.8396661468079081
2012-01-25,30.558,49.4,457,0.1041758241758241,30.105,49.4,457,0.1041758241758241,30.105,32.104,31.184714285714286,0.7024024758607011,28.766,31.547,30.12985714285714,1.0465147599805487
2012-01-26,30.123,49.4,457,0.1041758241758241,30.558,49.4,457,0.1041758241758241,30.105,32.104,31.124285714285715,0.7400366464542436,28.766,31.547,30.33042857142857,1.057382752703244
2012-01-27,30.443,49.4,457,0.1041758241758241,30.123,49.4,457,0.1041758241758241,30.105,32.104,31.008428571428574,0.8324992206488592,28.766,31.547,30.47985714285714,1.0583479938992095
2012-01-30,29.577,49.4,457,0.1041758241758241,30.443,49.4,457,0.1041758241758241,30.105,32.104,30.77528571428571,0.7023740015798161,29.264,32.075,30.952571428571428,0.891026160697667
2012-01-31,29.953,49.4,457,0.1041758241758241,29.577,49.4,457,0.1041758241758241,29.577,31.132,30.414285714285715,0.5351223269140528,30.548,32.104,31.35828571428571,0.5896116558904775
2012-02-01,31.084,49.4,457,0.1041758241758241,29.953,49.4,457,0.1041758241758241,29.577,30.962,30.245857142857144,0.4504125622032337,30.934,32.104,31.441714285714287,0.48849623481514876
2012-02-02,31.915,49.4,457,0.1041758241758241,31.084,49.4,457,0.1041758241758241,29.577,31.084,30.26328571428572,0.48386041867661633,30.934,32.104,31.39071428571429,0.5209976693120391
2012-02-03,32.96,49.4,457,0.1041758241758241,31.915,49.4,457,0.1041758241758241,29.577,31.915,30.52185714285714,0.7788685016465535,30.105,32.104,31.184714285714286,0.7024024758607011
2012-02-06,32.075,49.4,457,0.1041758241758241,32.96,49.4,457,0.1041758241758241,29.577,32.96,30.865000000000002,1.2082233513165819,30.105,32.104,31.124285714285715,0.7400366464542436
2012-02-07,31.762,49.4,457,0.1041758241758241,32.075,49.4,457,0.1041758241758241,29.577,32.96,31.143857142857144,1.233425369796305,30.105,32.104,31.008428571428574,0.8324992206488592
2012-02-08,31.799,49.4,457,0.1041758241758241,31.762,49.4,457,0.1041758241758241,29.577,32.96,31.332285714285717,1.2090210522409919,30.105,32.104,30.77528571428571,0.7023740015798161
