date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,64.5022258064516,0.006449717403414461,12.5,"$39,186",0.10417582417582417
2012-06-30,74.4146507936508,-0.00019460156414411296,11.74,"$35,023",0.1523076923076923
2012-09-30,82.23919047619047,0.002273420361922933,12.97,"$35,966",0.14434782608695654
2012-12-31,74.49822580645161,-0.0033260224907854644,10.41,"$54,512",0.16119565217391305
2013-03-31,60.426383333333334,-0.0026730419912936398,9.17,"$43,603",0.14366666666666666
2013-06-30,56.19046875,-0.0013969224877159597,8.65,"$35,323",0.11582417582417584
2013-09-30,60.98271875,0.003140919884604479,10.58,"$37,472",0.08521739130434783
2013-12-31,69.90796875,0.002615276082995638,12.3,"$57,594",0.08554347826086957
2014-03-31,70.79647540983606,-0.0005174283922752188,11.41,"$45,646",0.07222222222222222
2014-06-30,79.65990476190476,0.003241763761474964,13.43,"$37,432",0.09098901098901098
2014-09-30,92.340984375,0.001420396421638468,14.08,"$42,123",0.0891304347826087
2014-12-31,102.84325,0.0015778770891426031,13.43,"$74,599",0.10130434782608697
2015-03-31,114.59983606557377,0.0021753724514137975,13.94,"$58,010",0.11288888888888889
2015-06-30,121.89238095238096,0.00025800719556085775,13.18,"$49,605",0.1256043956043956
2015-09-30,112.243078125,-0.0017080783641177134,10.93,"$51,501",0.13478260869565217
2015-12-31,109.85765625,-0.0005421434158431292,10.26,"$75,872",0.16108695652173913
2016-03-31,96.27980327868853,0.0008373483624160818,11.19,"$50,557",0.3597802197802198
2016-06-30,96.571140625,-0.0018437342481875656,10.37,"$42,358",0.36934065934065935
2016-09-30,103.469375,0.0027996953408019384,12.76,"$46,852",0.39489130434782604
2016-12-31,111.39428571428572,0.0005154609171706606,13.02,"$78,351",0.44815217391304346
2017-03-31,129.9724193548387,0.0035946156138220667,15.84,"$52,896",0.698888888888889
2017-06-30,146.5173015873016,0.0001728031217811152,15.49,"$45,408",0.9473626373626375
2017-09-30,154.36158730158732,0.0012063255824853916,15.92,"$52,579",1.1536956521739128
2017-12-31,161.28533333333334,0.004364083757152104,16.59,"$88,293",1.2027777777777777
