date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,3.0090322580645164,0.010331815943140218,0.0,$0,0.10417582417582417
2012-06-30,3.3390476190476193,-0.0028192267657752546,0.0,$0,0.1523076923076923
2012-09-30,3.120425396825397,0.0003667652685089205,0.0,$0,0.14434782608695654
2012-12-31,3.5299193548387096,0.006218679395720019,0.0,$2,0.16119565217391305
2013-03-31,5.057166666666666,0.0037956471146586477,0.0,$1,0.14366666666666666
2013-06-30,7.13125,0.01010897326505237,0.0,$0,0.11582417582417584
2013-09-30,10.91125,0.00314408889389281,0.0,$1,0.08521739130434783
2013-12-31,8.69125,0.0021193162923281647,0.0,$28,0.08554347826086957
2014-03-31,11.848360655737705,0.0016567758288088359,0.0,$0,0.07222222222222222
2014-06-30,10.028174603174604,-0.0018686911072067734,0.0,$0,0.09098901098901098
2014-09-30,7.8628125,-0.006776754346618822,0.0,$5,0.0891304347826087
2014-12-31,6.486328125,0.003953557407360111,0.0,$0,0.10130434782608697
2015-03-31,6.540081967213115,-0.006812917963923316,0.0,$0,0.11288888888888889
2015-06-30,3.910396825396825,0.0028463660444194025,0.0,$2,0.1256043956043956
2015-09-30,4.1096875,-0.0044521953613172426,0.0,$15,0.13478260869565217
2015-12-31,4.28984375,0.005089043028988129,0.0,$2,0.16108695652173913
2016-03-31,3.4681147540983606,-0.0023918822061785696,0.0,$3,0.3597802197802198
2016-06-30,3.276796875,-0.0016548558122426674,0.0,$5,0.36934065934065935
2016-09-30,3.32171875,0.006436120282809243,0.0,$3,0.39489130434782604
2016-12-31,3.072857142857143,-0.005784663449592309,0.0,$6,0.44815217391304346
2017-03-31,2.9399193548387097,0.0035295274385529394,0.0,$3,0.698888888888889
2017-06-30,2.5396825396825395,-0.0052542248313288895,0.0,$3,0.9473626373626375
2017-09-30,3.115873015873016,0.014001048194144173,0.0,$1,1.1536956521739128
2017-12-31,2.8316666666666666,-0.016197058033293313,0.0,$1,1.2027777777777777
