date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,12.228903225806452,0.0014668823639608587,19.64,$244,0.10417582417582417
2012-06-30,12.759285714285715,-0.0014318571224104797,16.97,$227,0.1523076923076923
2012-09-30,12.818412698412697,0.0025553326794456005,19.86,$239,0.14434782608695654
2012-12-31,14.461903225806452,0.0010741883371817066,24.77,$266,0.16119565217391305
2013-03-31,16.828716666666665,0.00263309175008327,24.65,$278,0.14366666666666666
2013-06-30,17.010984375,-0.0015017281051430513,23.22,$264,0.11582417582417584
2013-09-30,16.280546875,0.0006120874423483063,23.7,$280,0.08521739130434783
2013-12-31,16.774375,0.002285695650068113,24.49,$286,0.08554347826086957
2014-03-31,17.737131147540982,-3.759534500964882e-05,27.9,$310,0.07222222222222222
2014-06-30,18.02938095238095,-0.0001261566525702631,24.36,$287,0.09098901098901098
2014-09-30,17.05371875,-0.002114687517491328,23.06,$290,0.0891304347826087
2014-12-31,17.14671875,0.002457692143586791,24.4,$276,0.10130434782608697
2015-03-31,18.52934426229508,0.0005281115146637766,21.82,$297,0.11288888888888889
2015-06-30,18.03230158730159,-0.0008681504202084118,21.45,$282,0.1256043956043956
2015-09-30,17.6740625,-0.0011031778676567905,21.3,$289,0.13478260869565217
2015-12-31,18.472265625,0.002314502040966211,18.83,$300,0.16108695652173913
2016-03-31,18.470573770491804,0.001277283517833185,21.64,$347,0.3597802197802198
2016-06-30,22.462765625,0.003008034160866686,22.42,$333,0.36934065934065935
2016-09-30,25.510421875,0.001445524148971103,16.19,$346,0.39489130434782604
2016-12-31,27.176222222222222,0.0005992079770298804,17.09,$350,0.44815217391304346
2017-03-31,29.414274193548387,0.0018380675402408777,17.97,$374,0.698888888888889
2017-06-30,30.64626984126984,0.0004723113235239743,18.91,$379,0.9473626373626375
2017-09-30,32.03404761904762,0.0013027749536978046,28.35,$419,1.1536956521739128
2017-12-31,35.86233333333333,0.0014304611236940787,28.35,$419,1.2027777777777777
