date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,3.2341661290322583,0.0071612871924288885,11.88,$15,0.10417582417582417
2012-06-30,3.9817,-0.0016496805584298852,5.66,$17,0.1523076923076923
2012-09-30,4.861214285714286,0.007097571399968296,7.99,$17,0.14434782608695654
2012-12-31,5.457627419354839,-0.0006616887785331724,8.83,$20,0.16119565217391305
2013-03-31,5.669276666666667,0.006314703578974037,9.67,$22,0.14366666666666666
2013-06-30,8.100171875,0.004316938715271541,10.47,$28,0.11582417582417584
2013-09-30,9.39105,-0.00011046872789960589,7.51,$32,0.08521739130434783
2013-12-31,11.5442234375,0.00724162384417525,8.96,$40,0.08554347826086957
2014-03-31,13.722983606557376,0.0040210851801721174,8.56,$50,0.07222222222222222
2014-06-30,21.032698412698412,0.005673072186617955,8.72,$59,0.09098901098901098
2014-09-30,22.690765625,0.002084754893338151,9.03,$43,0.0891304347826087
2014-12-31,26.22553125,-0.0016462767974412072,7.11,$49,0.10130434782608697
2015-03-31,27.563032786885245,0.00414833393934494,9.26,$55,0.11288888888888889
2015-06-30,26.192825396825395,-0.003410682504386366,7.78,$59,0.1256043956043956
2015-09-30,22.597390625,0.00015156976441624802,7.22,$73,0.13478260869565217
2015-12-31,28.257171875,0.0035475332835835025,9.08,$57,0.16108695652173913
2016-03-31,22.579131147540984,-0.006247534024265634,6.01,$69,0.3597802197802198
2016-06-30,19.773078125,-0.00014992302180614862,7.91,$72,0.36934065934065935
2016-09-30,18.51896875,0.00014340262771636407,11.19,$82,0.39489130434782604
2016-12-31,17.360190476190475,0.0006260094469986292,0.0,$85,0.44815217391304346
2017-03-31,18.72558064516129,-0.0008348078814235328,0.0,$93,0.698888888888889
2017-06-30,15.744698412698414,-0.001122505587644791,0.0,$98,0.9473626373626375
2017-09-30,15.035507936507935,0.0006807372554100195,0.0,$99,1.1536956521739128
2017-12-31,15.254266666666666,-0.0025898629563291366,23.24,$102,1.2027777777777777
