date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,34.29175806451613,0.004205435400224695,0.0,"$1,568",0.10417582417582417
2012-06-30,36.001174603174604,0.00010970973519514126,0.0,"$1,721",0.1523076923076923
2012-09-30,38.043507936507936,0.0007640697797860438,10.99,"$1,596",0.14434782608695654
2012-12-31,39.429870967741934,0.0006553805844140523,12.95,"$1,823",0.16119565217391305
2013-03-31,44.56516666666666,0.003578747584042489,14.94,"$1,562",0.14366666666666666
2013-06-30,51.286359374999996,0.0010078995346200006,15.27,"$1,683",0.11582417582417584
2013-09-30,60.743109375,0.0028385629243574094,13.61,"$1,637",0.08521739130434783
2013-12-31,73.776515625,0.004628806622514903,15.26,"$1,938",0.08554347826086957
2014-03-31,92.67140983606558,0.0022326918412698205,14.7,"$1,594",0.07222222222222222
2014-06-30,95.75295238095238,-0.0011140276238745558,11.84,"$1,719",0.09098901098901098
2014-09-30,94.576609375,0.001615824256694513,12.04,"$1,717",0.0891304347826087
2014-12-31,101.1413125,0.001366054960007839,14.51,"$1,927",0.10130434782608697
2015-03-31,124.32770491803278,0.0037888101549846767,18.18,"$1,570",0.11288888888888889
2015-06-30,123.18222222222222,-0.0032969781615146956,12.53,"$1,745",0.1256043956043956
2015-09-30,110.76421875,-0.0004904286952890895,11.49,"$1,800",0.13478260869565217
2015-12-31,119.38968750000001,0.00284818679763996,13.64,"$1,905",0.16108695652173913
2016-03-31,127.46540983606558,0.001432685365367788,13.09,"$1,763",0.3597802197802198
2016-06-30,149.39265625,0.0033177734606182237,16.82,"$1,700",0.36934065934065935
2016-09-30,163.6146875,-0.001319676239503808,15.44,"$1,683",0.39489130434782604
2016-12-31,167.95571428571427,0.0031616295665139573,13.79,"$1,922",0.44815217391304346
2017-03-31,201.71774193548387,0.0014469773118786248,15.43,"$1,724",0.698888888888889
2017-06-30,194.63666666666668,-0.001003137971253488,13.9,"$1,858",0.9473626373626375
2017-09-30,208.18412698412698,0.003205131284342594,15.68,"$1,863",1.1536956521739128
2017-12-31,235.32433333333333,0.002174099114873625,20.74,"$1,996",1.2027777777777777
