date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,20.281451612903226,0.0012392746014855153,0.0,"$2,764",0.10417582417582417
2012-06-30,18.610603174603177,-0.0010750765792958293,0.0,"$2,826",0.1523076923076923
2012-09-30,19.132349206349208,0.00013335413901104605,0.0,"$1,673",0.14434782608695654
2012-12-31,18.36714516129032,-0.0007357953578503619,0.0,"$1,580",0.16119565217391305
2013-03-31,19.940183333333334,0.0032416191289848,0.0,"$1,597",0.14366666666666666
2013-06-30,24.205890625,0.0017521708595500327,0.0,"$1,457",0.11582417582417584
2013-09-30,26.950499999999998,0.002890926930778989,0.0,"$1,414",0.08521739130434783
2013-12-31,30.28384375,0.000721116098556766,0.0,"$1,414",0.08554347826086957
2014-03-31,29.387196721311476,-0.0039994720161385285,0.0,"$1,312",0.07222222222222222
2014-06-30,25.220968253968255,0.0014919311255181585,0.0,"$1,306",0.09098901098901098
2014-09-30,24.773375,-0.0014058030169526985,0.0,"$1,276",0.0891304347826087
2014-12-31,26.544703125,0.003944139719127049,0.0,"$1,276",0.10130434782608697
2015-03-31,29.70850819672131,-0.0003058488393512599,48.45,"$1,246",0.11288888888888889
2015-06-30,28.94811111111111,-0.00039109680646630727,24.6,"$1,257",0.1256043956043956
2015-09-30,28.976046875,0.0006902539824476927,15.49,"$1,302",0.13478260869565217
2015-12-31,36.917328125,0.005177558019866163,10.68,$907,0.16108695652173913
2016-03-31,33.60549180327869,-0.0014095626433454252,9.32,"$1,312",0.3597802197802198
2016-06-30,35.093046875,-0.000596781618698923,8.8,"$1,288",0.36934065934065935
2016-09-30,37.730046875,0.0034792261718303713,10.48,"$1,868",0.39489130434782604
2016-12-31,45.71042857142857,0.002860883756922326,19.37,"$2,575",0.44815217391304346
2017-03-31,50.689048387096776,0.00016045079266406535,21.17,"$2,580",0.698888888888889
2017-06-30,52.70782539682539,0.00032249013975128003,20.67,"$2,571",0.9473626373626375
2017-09-30,55.43747619047619,0.002348289371534985,26.99,"$2,503",1.1536956521739128
2017-12-31,61.99533333333333,0.001504009239434434,25.22,"$2,516",1.2027777777777777
