date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,1.1994596774193549,0.002324519865728501,2.78,$5,0.10417582417582417
2012-06-30,1.018074603174603,-6.28653444062629e-05,3.01,$5,0.1523076923076923
2012-09-30,1.0177,0.0009011261273424539,2.88,$5,0.14434782608695654
2012-12-31,1.1528725806451612,0.0008113965470048429,3.0,$5,0.16119565217391305
2013-03-31,1.253825,0.0008888320007448084,4.01,$4,0.14366666666666666
2013-06-30,1.218615625,-0.0010209233772794785,3.93,$4,0.11582417582417584
2013-09-30,1.14070625,-0.0003399504905546597,4.98,$5,0.08521739130434783
2013-12-31,1.1883015625,0.003176410716200031,7.09,$5,0.08554347826086957
2014-03-31,1.395332786885246,0.001055863355984903,5.5,$6,0.07222222222222222
2014-06-30,1.5371777777777778,0.003604677838354161,4.86,$6,0.09098901098901098
2014-09-30,2.032284375,0.004780722234839456,5.55,$7,0.0891304347826087
2014-12-31,2.4646171875,0.00442641143962549,5.86,$7,0.10130434782608697
2015-03-31,2.610480327868853,-0.0017695171081113204,5.16,$6,0.11288888888888889
2015-06-30,2.16335873015873,-0.002881142372781465,4.2,$5,0.1256043956043956
2015-09-30,2.1585921875,0.0010348542106889212,4.16,$5,0.13478260869565217
2015-12-31,2.0921921875,-0.0010880419527667506,4.39,$5,0.16108695652173913
2016-03-31,1.879760655737705,-0.0016176549214273464,3.81,$5,0.3597802197802198
2016-06-30,1.8346953125,0.0009286147648120274,4.5,$4,0.36934065934065935
2016-09-30,1.914775,0.00036669188779243043,4.98,$4,0.39489130434782604
2016-12-31,2.0984587301587303,0.0020875779306339447,5.9,$5,0.44815217391304346
2017-03-31,2.3676564516129033,0.0018346208528281505,6.86,$4,0.698888888888889
2017-06-30,2.4765825396825396,0.0005661466856750205,5.72,$5,0.9473626373626375
2017-09-30,2.476379365079365,0.000562831535747323,5.91,$5,1.1536956521739128
2017-12-31,2.7035,0.0012849597263824878,5.66,$4,1.2027777777777777
